"","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"LAMB3","LAMB3",-2.11115031801425,10.5220085793309,-15.5729961808994,8.3432600002437e-11,2.00254926525849e-06,14.3371990098351,"Down"
"PTHLH","PTHLH",-3.7586455461264,4.48244948395766,-13.8882535587104,4.32127481798665e-10,2.86299917647708e-06,12.9831560897845,"Down"
"XM_006719115","XM_006719115",-3.7586455461264,4.48244948395766,-13.8882535587104,4.32127481798665e-10,2.86299917647708e-06,12.9831560897845,"Down"
"TGFA","TGFA",-2.85786752225815,5.77021814787765,-11.3104198911954,7.70488587058805e-09,1.2328844711057e-05,10.4729439327254,"Down"
"DSG2","DSG2",-2.37423090789489,6.38117075258064,-10.2391083638387,2.99146638540306e-08,3.59005880912221e-05,9.24022341853603,"Down"
"PPBP","PPBP",-2.35375489482404,3.6224582175408,-9.53786807659023,7.71883770681344e-08,7.71948094328901e-05,8.3628605994173,"Down"
"ITGB4","ITGB4",-2.27374438006585,4.89929952289584,-9.29720561160578,1.08137057457652e-07,9.60917310102315e-05,8.04795960854952,"Down"
"CTSC","CTSC",-1.76209944437464,7.67871109742569,-9.27179051268066,1.12097678038767e-07,9.60917310102315e-05,8.01427929861314,"Down"
"CWH43","CWH43",-3.03470276021972,3.64397582124485,-8.90026014081905,1.91215518276137e-07,0.000131130139133252,7.51245198715955,"Down"
"TMEM156","TMEM156",-1.86473299451474,3.59013082226674,-8.1768003097638,5.66293492748873e-07,0.000234454148828933,6.48256563829141,"Down"
"XM_005262670","XM_005262670",-1.86473299451474,3.59013082226674,-8.1768003097638,5.66293492748873e-07,0.000234454148828933,6.48256563829141,"Down"
"RPS6KA1","RPS6KA1",-1.39388353449994,7.65379813179825,-8.17650669378669,5.66550313810438e-07,0.000234454148828933,6.48213305588085,"Down"
"XM_005245966","XM_005245966",-1.39388353449994,7.65379813179825,-8.17650669378669,5.66550313810438e-07,0.000234454148828933,6.48213305588085,"Down"
"XM_005245967","XM_005245967",-1.39388353449994,7.65379813179825,-8.17650669378669,5.66550313810438e-07,0.000234454148828933,6.48213305588085,"Down"
