"","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"PLPP3","PLPP3",2.98013190196459,9.59671384890955,13.406725115274,7.1381436990277e-10,2.86299917647708e-06,12.5577240790355,"Up"
"MFAP5","MFAP5",3.32368821676491,4.70749465367828,13.4042453118987,7.15690153273165e-10,2.86299917647708e-06,12.5554853988917,"Up"
"XR_242903","XR_242903",3.32368821676491,4.70749465367828,13.4042453118987,7.15690153273165e-10,2.86299917647708e-06,12.5554853988917,"Up"
"PMP22","PMP22",3.07066560222327,9.59620177397039,13.0631952683181,1.03088862769712e-09,3.53476983456946e-06,12.2427920897117,"Up"
"PRR16","PRR16",1.88033346340096,3.77916808890541,12.7926422765713,1.38499200975656e-09,3.69361980201966e-06,11.9877926708027,"Up"
"XM_005272012","XM_005272012",1.88033346340096,3.77916808890541,12.7926422765713,1.38499200975656e-09,3.69361980201966e-06,11.9877926708027,"Up"
"ABI3BP","ABI3BP",3.32014322924231,9.91853700610743,11.4409566410532,6.57704319071678e-09,1.16947710960298e-05,10.6148498467502,"Up"
"DOCK10","DOCK10",1.91395782517927,4.52203558638106,11.4311543095232,6.65534095890924e-09,1.16947710960298e-05,10.6042536636039,"Up"
"XM_006712616","XM_006712616",1.91395782517927,4.52203558638106,11.4311543095232,6.65534095890924e-09,1.16947710960298e-05,10.6042536636039,"Up"
"XM_006712618","XM_006712618",1.91395782517927,4.52203558638106,11.4311543095232,6.65534095890924e-09,1.16947710960298e-05,10.6042536636039,"Up"
"CXCL12","CXCL12",4.02444631278207,6.13809045249661,11.410764944319,6.82138135757094e-09,1.16947710960298e-05,10.582182010095,"Up"
"CTSF","CTSF",1.39326973228745,8.63931844238122,11.2001171818242,8.81746125888654e-09,1.32272940709872e-05,10.3516785493677,"Up"
"JAM2","JAM2",2.06676135568681,4.67524005853873,10.9156244292847,1.25478429361253e-08,1.67318514529378e-05,10.0330663837562,"Up"
"XM_006724037","XM_006724037",2.06676135568681,4.67524005853873,10.9156244292847,1.25478429361253e-08,1.67318514529378e-05,10.0330663837562,"Up"
"NID1","NID1",2.54622102792761,7.59993401350099,10.72795999829,1.58991511397104e-08,2.00848118765962e-05,9.81818466824401,"Up"
"LAMA4","LAMA4",2.16261333657404,6.16574050022651,10.0854626635518,3.66634273514568e-08,4.02927752991757e-05,9.0529691454695,"Up"
"PTGFR","PTGFR",2.45053622353973,5.18455174332097,10.0466575510822,3.86106921040347e-08,4.02927752991757e-05,9.00524157596051,"Up"
"XR_426624","XR_426624",2.45053622353973,5.18455174332097,10.0466575510822,3.86106921040347e-08,4.02927752991757e-05,9.00524157596051,"Up"
"DDR2","DDR2",2.92388760443128,7.59877581053048,9.46748956042271,8.51317025709121e-08,7.85896586579628e-05,8.27152074406351,"Up"
"XM_006711345","XM_006711345",2.92388760443128,7.59877581053048,9.46748956042271,8.51317025709121e-08,7.85896586579628e-05,8.27152074406351,"Up"
"ADGRD1","ADGRD1",2.09323738404369,5.04559907405745,9.12988777753019,1.3721083111469e-07,0.000113563254083268,7.82471504580372,"Up"
"CTSK","CTSK",1.7104197106941,9.27299677846488,9.0096607609642,1.63129069682487e-07,0.000126255074223643,7.66207886705006,"Up"
"MMP2","MMP2",2.11571990258637,8.66413695921714,8.99642587979738,1.66282442722832e-07,0.000126255074223643,7.64406080262367,"Up"
"PLXND1","PLXND1",1.83374445601196,7.26638293821005,8.9879891675754,1.68326071792208e-07,0.000126255074223643,7.63256307595175,"Up"
"HACD1","HACD1",1.42660404565321,5.10452310232078,8.9088004880155,1.88849580954552e-07,0.000131130139133252,7.52418908573237,"Up"
"XR_428651","XR_428651",1.42660404565321,5.10452310232078,8.9088004880155,1.88849580954552e-07,0.000131130139133252,7.52418908573237,"Up"
"LAMA2","LAMA2",2.0746439816929,6.95682575611766,8.86441190253558,2.01492585573022e-07,0.000134339584414546,7.46308049726498,"Up"
"MRGPRF","MRGPRF",1.95537655414269,5.83872706913365,8.80826971050638,2.18773487523907e-07,0.000141918952636454,7.38541810844273,"Up"
"LDB2","LDB2",3.07710875721664,5.50914486618213,8.68968278037494,2.6061412548973e-07,0.000160391288205243,7.2199965247267,"Up"
"XM_006713979","XM_006713979",3.07710875721664,5.50914486618213,8.68968278037494,2.6061412548973e-07,0.000160391288205243,7.2199965247267,"Up"
"SERPINF1","SERPINF1",2.41883354593507,10.9189305908769,8.55012523379437,3.2089011917447e-07,0.000189563416214006,7.02290266374385,"Up"
"FBLN2","FBLN2",1.74231207601446,8.20014047065937,8.51755570155552,3.36967303313368e-07,0.000189563416214006,6.9765256915189,"Up"
"ADAMTS5","ADAMTS5",3.1918223172572,5.00749950439944,8.5136915835427,3.38930253952336e-07,0.000189563416214006,6.97101384310225,"Up"
"WNT2B","WNT2B",1.28148929468729,5.64240377326927,8.51236650812042,3.396061535373e-07,0.000189563416214006,6.96912326261559,"Up"
"MATN2","MATN2",2.33475318764387,9.88457711286704,8.48964893524045,3.51417369397806e-07,0.000191698175006503,6.9366732029017,"Up"
"TGFBR3","TGFBR3",2.50443472384327,9.90577027975667,8.45277841142647,3.7151632343338e-07,0.000198158551001067,6.88385674095154,"Up"
"COL3A1","COL3A1",3.06314843448731,6.24673567396675,8.4297768165706,3.84664893522012e-07,0.000200711451615551,6.85081296590931,"Up"
"TAGLN","TAGLN",2.67808327081019,7.31129126890792,8.31269574655718,4.59617151719388e-07,0.000234454148828933,6.6814867354017,"Up"
"TMEM204","TMEM204",1.59549024564347,7.91571824763763,8.2901950834009,4.75704213581896e-07,0.000234454148828933,6.64872837877401,"Up"
"RHOJ","RHOJ",2.18671541211454,4.97096982087593,8.24769135520247,5.07730460933275e-07,0.000234454148828933,6.58665584183473,"Up"
"XR_245708","XR_245708",2.18671541211454,4.97096982087593,8.24769135520247,5.07730460933275e-07,0.000234454148828933,6.58665584183473,"Up"
"XR_245709","XR_245709",2.18671541211454,4.97096982087593,8.24769135520247,5.07730460933275e-07,0.000234454148828933,6.58665584183473,"Up"
"ZEB2","ZEB2",2.82599520829175,5.01173071916677,8.20648002812918,5.4095441420844e-07,0.000234454148828933,6.52623025235988,"Up"
"CACNA2D1","CACNA2D1",2.04302767947077,6.21321882744542,8.18224914218078,5.61549641439015e-07,0.000234454148828933,6.49059117274846,"Up"
"SLIT3","SLIT3",1.91988449944325,5.06695129028636,8.14146211919538,5.9810061539133e-07,0.00023951424377537,6.43041523229968,"Up"
"PDGFRB","PDGFRB",2.52350047708033,6.97716776288812,8.0851018366018,6.52775552702244e-07,0.00023951424377537,6.34687795963196,"Up"
"FBLN5","FBLN5",2.72672366673617,7.24526604030429,8.08314721186895,6.5476350592317e-07,0.00023951424377537,6.34397277713336,"Up"
