gene,module,C1,C2,C3,C1_logFC,C2_logFC,C3_logFC
RHOU,C3 SPECIFIC,DOWN,NS,UP,-2.74562652364922,0.86766124926736,1.20208229974405
HLF,C3 SPECIFIC,DOWN,NS,UP,-3.08160305621656,1.21762595416448,2.00189241026374
SCIN,C3 SPECIFIC,DOWN,NS,UP,-2.70646514367576,-0.376791544181229,1.34974588984447
DAPL1,C3 SPECIFIC,DOWN,NS,UP,-2.84497230570198,0.557921060120748,1.41180559216841
CYP2U1,C3 SPECIFIC,NS,NS,UP,0.977897534820711,0.0777163758329156,1.02248309529701
CLU,C3 SPECIFIC,DOWN,NS,UP,-2.50988787857669,-0.154422557628089,1.37309259617966
XM_006716284,C3 SPECIFIC,DOWN,NS,UP,-2.50988787857669,-0.154422557628089,1.37309259617966
VSTM4,C3 SPECIFIC,NS,NS,UP,0.987487526270519,0.0841277386072612,1.12061543767407
XM_006717689,C3 SPECIFIC,NS,NS,UP,0.987487526270519,0.0841277386072612,1.12061543767407
RAB30,C3 SPECIFIC,NS,NS,UP,0.975501319374515,0.199753706646062,1.23217234799099
GNB4,SHARED C1 & C3,UP,NS,UP,4.20995634123732,0.552771400204433,1.30561521970802
ADAMTS1,SHARED C1 & C3,UP,NS,UP,5.44205305225771,0.551074581807832,1.91359223661605
MMP2,SHARED C1 & C3,UP,NS,UP,4.49304483105422,0.242404588601628,2.11571990258637
LAMA4,SHARED C1 & C3,UP,NS,UP,3.88206188158047,-0.279249563713032,2.16261333657404
MFAP5,SHARED C1 & C3,UP,NS,UP,4.35124237019943,-0.607563691908725,3.32368821676491
XR_242903,SHARED C1 & C3,UP,NS,UP,4.35124237019943,-0.607563691908725,3.32368821676491
DOCK10,SHARED C1 & C3,UP,NS,UP,2.76458184852215,0.390881160086169,1.91395782517927
XM_006712616,SHARED C1 & C3,UP,NS,UP,2.76458184852215,0.390881160086169,1.91395782517927
XM_006712618,SHARED C1 & C3,UP,NS,UP,2.76458184852215,0.390881160086169,1.91395782517927
POSTN,SHARED C1 & C3,UP,NS,UP,6.18697360200037,0.802355259985102,2.28830198955315
CNTN4,DOWN IN LIMBUS,DOWN,NS,NS,-3.68621712226523,0.575013864332003,0.629749057410843
XM_006713005,DOWN IN LIMBUS,DOWN,NS,NS,-3.68621712226523,0.575013864332003,0.629749057410843
NLK,DOWN IN LIMBUS,DOWN,NS,NS,-2.06370175075777,0.300318166947717,0.124296527368951
ST6GALNAC3,DOWN IN LIMBUS,DOWN,NS,NS,-2.26836152780575,0.267021663552534,0.395963341502624
XM_006710554,DOWN IN LIMBUS,DOWN,NS,NS,-2.26836152780575,0.267021663552534,0.395963341502624
CFAP68,DOWN IN LIMBUS,DOWN,NS,NS,-1.52442456257801,-0.0431059596917951,-0.138306391253836
