gene,C1,C1_logFC,C1_FDR,C2,C2_logFC,C2_FDR,C3,C3_logFC,C3_FDR,module
A1BG,NS,0.95424237566279,0.004242702397698,NS,0.871986524194378,0.178473538397929,UP,1.208745939333,0.0095247325117194,C3 SPECIFIC
A2M,UP,4.24537252526713,5.61736707301257e-05,NS,-0.077306021106164,0.977816687978146,UP,3.06530609293026,0.008713130962773,SHARED C1 & C3
A2ML1,NS,0.667085487626146,0.178611622186241,NS,-1.11087392273036,0.311836078250843,DOWN,-2.20988888715101,0.005674546524667,DOWN IN LIMBUS
A4GALT,NS,-0.559717835101399,0.046313232836131,NS,-0.814855451641463,0.175068116518657,DOWN,-1.20489556336946,0.00602260854352,DOWN IN LIMBUS
AADACL2,UP,2.07834141615729,0.0204585110983572,NS,-1.74816606164495,0.359573274445886,NS,0.939862834496723,0.431585125683449,C1 SPECIFIC
AASS,UP,1.5959279559004,0.0001369568026019,NS,0.458134557126943,0.526895216687807,UP,1.84232960743354,0.0009110751458919,SHARED C1 & C3
ABAT,DOWN,-1.40553019280796,4.48581500303247e-06,NS,-0.265395128313219,0.544238246417765,NS,-0.397218072571858,0.125339651340938,DOWN IN LIMBUS
ABCA1,UP,1.24564130949777,0.002583451459891,NS,0.13873817854973,0.902216933131268,NS,0.377297022392096,0.4570128214675,C1 SPECIFIC
ABCA6,UP,2.20861694972823,2.63249641279919e-05,NS,0.503655336215363,0.547120028070798,UP,2.05071564040465,0.0011112700935699,SHARED C1 & C3
ABCA8,UP,3.62427157673996,7.23580173885849e-06,NS,-0.0278215585455399,0.989030763801485,UP,2.4743978503549,0.0033132955277858,SHARED C1 & C3
ABCA9,UP,1.62382283426644,8.53720343769744e-05,NS,-0.766242687095652,0.241145422274755,UP,1.59846460871103,0.0017995719736187,SHARED C1 & C3
ABCB1,UP,1.69398206968944,7.07173035980361e-05,NS,0.412189096542674,0.561774821203024,UP,1.21020357998435,0.0107683427503359,SHARED C1 & C3
ABCB4,UP,2.01055358528102,2.44820051017543e-06,NS,0.46815018778994,0.404677431682216,UP,1.32945206842415,0.0018641721340684,SHARED C1 & C3
ABCC1,UP,1.0361190121644,0.0016969691473777,NS,0.313933181953702,0.643255803669584,NS,0.272903838041204,0.49422060583112,C1 SPECIFIC
ABCC4,UP,2.4770513984929,0.0001875017317411,NS,-1.24771043220998,0.2584284353771,NS,0.730139044714017,0.286965237202826,C1 SPECIFIC
ABCC9,UP,1.04648085135671,0.0362591280824936,NS,0.60454745019503,0.595411547269146,NS,-0.451663393373699,0.512546596385144,C1 SPECIFIC
ABCG2,UP,1.46278950084234,0.0001044967968269,NS,0.444878584724945,0.485807355520652,NS,0.555216078775032,0.146402710054349,C1 SPECIFIC
ABHD11,DOWN,-1.07306223194008,0.0013647455162856,NS,-0.482197768504863,0.450885801620895,NS,0.0342529498944546,0.942574887624142,DOWN IN LIMBUS
ABHD6,DOWN,-1.13996894099975,0.0021484606796387,NS,-0.0415132884589902,0.971379573487212,NS,0.582162822871224,0.185174218440345,DOWN IN LIMBUS
ABI3BP,UP,1.60845979858277,0.0001571658212687,UP,1.91989014069865,0.0063265153525431,UP,3.32014322924231,1.16947710960298e-05,CORE — all 3 contrasts
ABL1,UP,1.13489236060339,0.0001021171674373,NS,0.140371599141059,0.813448883658973,NS,0.432263267413688,0.143973042718281,C1 SPECIFIC
ABLIM2,DOWN,-1.35895801757373,0.0001429257491651,NS,0.290909743705275,0.651288417327146,NS,-0.0196129776790892,0.967082711359702,DOWN IN LIMBUS
ABRACL,NS,0.741026314419836,0.0258545932168943,NS,-0.483159765840131,0.516696043545969,DOWN,-1.13000564607073,0.0194074744603862,DOWN IN LIMBUS
ABTB3,NS,-0.170298062628394,0.579332903082855,NS,0.453587434276784,0.514675723774272,DOWN,-1.31185558567992,0.005824139327978,DOWN IN LIMBUS
ACACA,NS,-0.641340072158198,0.0364358942014893,NS,-0.210836387143805,0.795132752970821,DOWN,-1.02415770310586,0.0226316276654305,DOWN IN LIMBUS
ACADSB,NS,-0.835798972573243,0.020759409904225,NS,0.333025372014532,0.694469384322617,UP,1.01872648505037,0.0423964145820575,C3 SPECIFIC
