"gene","logFC","direction","degree","degree_norm","betweenness","closeness","eigenvector","clustering_coeff","module","module_sz","MCC","degree_n","betweenness_n","closeness_n","eigenvector_n","MCC_n","hub_score","hub_rank","is_hub"
"COL1A1",2.45807943562336,"Up",47,0.076797385620915,0.0434094611356186,0.302073050345508,1,0.285846438482886,4,48,2209,1,0.332601345166483,0.862466356964365,1,1,0.83901354042617,1,TRUE
"MMP9",-2.71517277726633,"Down",44,0.0718954248366013,0.0946545931114516,0.333514986376022,0.453902774267347,0.187103594080338,2,59,1936,0.934782608695652,0.725239249036034,1,0.453902774059608,0.876358695652174,0.798056665488694,2,TRUE
"COL1A2",2.45261671799679,"Up",42,0.0686274509803922,0.018601231445078,0.294939759036145,0.992193540844467,0.362369337979094,4,48,1764,0.891304347826087,0.142521801435346,0.8312638400564,0.992193540841497,0.798460144927536,0.731148735017373,3,TRUE
"PTK2",-1.35140844740038,"Down",37,0.0604575163398693,0.0603774016754046,0.313364055299539,0.805998323190327,0.310810810810811,15,43,1369,0.782608695652174,0.462608944906233,0.911855588064963,0.805998323116527,0.619565217391304,0.71652735382624,4,TRUE
"ITGA2",-1.20418504110952,"Down",36,0.0588235294117647,0.0171015959086589,0.293525179856115,0.982365990995262,0.468253968253968,15,43,1296,0.760869565217391,0.131031661184258,0.825076173120019,0.982365990988554,0.586503623188406,0.657169402739726,5,TRUE
"JUN",2.62920416301607,"Up",31,0.0506535947712418,0.130514989691007,0.31974921630094,0.0783094982468373,0.120430107526882,6,86,961,0.652173913043478,1,0.939785625612255,0.0783094978962187,0.434782608695652,0.621010329049521,6,TRUE
"ITGA6",-1.24694210403086,"Down",33,0.053921568627451,0.0275206990646182,0.285048905449464,0.874334321954275,0.446969696969697,15,43,1089,0.695652173913043,0.210862362474787,0.787999165604163,0.87433432190647,0.492753623188406,0.612320329417374,7,TRUE
"ITGB4",-2.27374438006585,"Down",32,0.0522875816993464,0.0206813456191416,0.284518828451883,0.933261702497924,0.570564516129032,15,43,1024,0.673913043478261,0.158459542985097,0.785680497297732,0.933261702472536,0.463315217391304,0.602926000724986,8,TRUE
"ITGA5",-1.7978354669209,"Down",32,0.0522875816993464,0.0075093896375052,0.288543140028289,0.932556986967075,0.532258064516129,15,43,1024,0.673913043478261,0.0575366067551598,0.803283682778309,0.932556986941419,0.463315217391304,0.586121107468891,9,TRUE
"FGF2",1.69942773565159,"Up",35,0.0571895424836601,0.0637660616974118,0.310975609756098,0.171230841550081,0.156302521008403,10,46,1225,0.739130434782609,0.488572706080561,0.90140802477042,0.17123084123481,0.554347826086957,0.570937966591071,10,TRUE
"COL4A1",2.36422264657668,"Up",31,0.0506535947712418,0.00484039510330561,0.287864534336783,0.927651108367246,0.554838709677419,15,43,961,0.652173913043478,0.0370868902856692,0.800315318716791,0.927651108339724,0.434782608695652,0.570401967816263,11,TRUE
"ITGB6",-3.40260080852674,"Down",31,0.0506535947712418,0.0045531108182525,0.279452054794521,0.949309547960155,0.612903225806452,15,43,961,0.652173913043478,0.0348857309726028,0.763517363359105,0.949309547940872,0.434782608695652,0.566933832802342,12,TRUE
"MMP2",2.11571990258637,"Up",33,0.053921568627451,0.0270638773490115,0.306613226452906,0.459339769459489,0.272727272727273,4,48,1089,0.695652173913043,0.207362214969215,0.882326042432452,0.459339769253818,0.492753623188406,0.547486764751387,13,TRUE
"COL6A1",1.9637452536004,"Up",31,0.0506535947712418,0.00323417644490997,0.267950963222417,0.902482270049187,0.544086021505376,15,43,961,0.652173913043478,0.0247801149321381,0.713209169192473,0.902482270012091,0.434782608695652,0.545485615175167,14,TRUE
"CCL2",2.40757122137359,"Up",31,0.0506535947712418,0.0651599884521676,0.318087318087318,0.160211066830814,0.251612903225806,2,59,961,0.652173913043478,0.499252910385492,0.932516133191302,0.160211066511352,0.434782608695652,0.535787326365455,15,TRUE
"IL1B",-2.9327290777741,"Down",35,0.0571895424836601,0.0360194380741525,0.31693423096841,0.177535215472831,0.215126050420168,2,59,1225,0.739130434782609,0.275979319765708,0.927472287543662,0.177535215159959,0.554347826086957,0.534893016667779,16,FALSE
"VWF",1.15540319746716,"Up",30,0.0490196078431373,0.0388610433988116,0.300294406280667,0.464778955752627,0.154022988505747,15,43,900,0.630434782608696,0.297751572373524,0.854686193628878,0.464778955549024,0.407155797101449,0.530961460252314,17,FALSE
"COL3A1",3.06314843448731,"Up",31,0.0506535947712418,0.0152826969263847,0.285714285714286,0.62398930152576,0.363440860215054,4,48,961,0.652173913043478,0.11709533872367,0.790909678866962,0.623989301382723,0.434782608695652,0.523790168142497,18,FALSE
"ITGA3",-1.44844819579334,"Down",28,0.0457516339869281,0.002284509261255,0.279452054794521,0.893801860036397,0.666666666666667,15,43,784,0.58695652173913,0.0175038075447391,0.763517363359105,0.893801859995999,0.354619565217391,0.523279823571273,19,FALSE
"ITGA11",1.37006116668092,"Up",28,0.0457516339869281,0.00111870750516799,0.272727272727273,0.918904673827436,0.71957671957672,15,43,784,0.58695652173913,0.00857148675272102,0.734101751819417,0.918904673796586,0.354619565217391,0.520630799865049,20,FALSE
"ITGB2",1.61388821514623,"Up",28,0.0457516339869281,0.0296195287841378,0.301329394387001,0.53724423415968,0.275132275132275,15,43,784,0.58695652173913,0.2269435016948,0.859213449349536,0.537244233983644,0.354619565217391,0.5129954543969,21,FALSE
"ITGA8",2.04466618459593,"Up",28,0.0457516339869281,0.00300730141171328,0.272970561998216,0.862382875720996,0.605820105820106,15,43,784,0.58695652173913,0.0230418085986371,0.735165950274366,0.862382875668645,0.354619565217391,0.512433344299634,22,FALSE
"THBS2",1.45867162902071,"Up",27,0.0441176470588235,0.00363169634933823,0.285714285714286,0.8279749891166,0.578347578347578,15,43,729,0.565217391304348,0.0278258946189725,0.790909678866962,0.82797498905116,0.329710144927536,0.508327619753796,23,FALSE
"ITGA10",1.51823666177768,"Up",27,0.0441176470588235,0.000833007240947135,0.272484416740873,0.897951492938203,0.752136752136752,15,43,729,0.565217391304348,0.00638246413625954,0.733039448642214,0.897951492899383,0.329710144927536,0.506460188381948,24,FALSE
"ITGB8",-1.88296557942165,"Down",27,0.0441176470588235,0.000833007240947135,0.272484416740873,0.897951492938203,0.752136752136752,15,43,729,0.565217391304348,0.00638246413625954,0.733039448642214,0.897951492899383,0.329710144927536,0.506460188381948,25,FALSE
"COL4A2",2.1058778152708,"Up",28,0.0457516339869281,0.00458663130459335,0.276173285198556,0.794117047420657,0.492063492063492,15,43,784,0.58695652173913,0.0351425634362165,0.749175335350083,0.794117047342338,0.354619565217391,0.504002206617032,26,FALSE
"COL6A2",1.66666885902599,"Up",28,0.0457516339869281,0.00441552581170602,0.26075841499787,0.830401760770877,0.568783068783069,15,43,784,0.58695652173913,0.0338315608204065,0.681747450070869,0.830401760706361,0.354619565217391,0.497511371710832,27,FALSE
"PECAM1",2.53619236485063,"Up",28,0.0457516339869281,0.052738190328932,0.310817673946166,0.174293978622476,0.21957671957672,2,59,784,0.58695652173913,0.404077650036897,0.900717180310822,0.174293978308371,0.354619565217391,0.484132979122522,28,FALSE
"FBN1",2.26140548368546,"Up",28,0.0457516339869281,0.0245102894940121,0.281508739650414,0.505647721326437,0.325396825396825,4,48,784,0.58695652173913,0.187796739302053,0.772513735609616,0.505647721138382,0.354619565217391,0.481506856601314,29,FALSE
"ITGA7",1.20402054948201,"Up",26,0.042483660130719,0.00240222689715824,0.274685816876122,0.789449295624786,0.556923076923077,15,43,676,0.543478260869565,0.0184057547937251,0.742668835970213,0.789449295544691,0.30570652173913,0.479941733783465,30,FALSE
