"gene","logFC","direction","degree","degree_norm","betweenness","closeness","eigenvector","clustering_coeff","module","module_sz","MCC","degree_n","betweenness_n","closeness_n","eigenvector_n","MCC_n","hub_score","hub_rank","is_hub"
"FN1",4.8147324951267,"Up",90,0.104529616724739,0.181548288107324,0.357409713574097,1,0.122846441947566,2,91,8100,1,1,1,1,1,1,1,TRUE
"IL6",3.22329199315399,"Up",74,0.0859465737514518,0.116232077489678,0.343164607413312,0.740119504674445,0.14142910033321,1,120,5476,0.820224719101124,0.640226788704093,0.94111189805896,0.740119502541064,0.676009383874552,0.763538458455958,2,TRUE
"CXCR4",1.57221803127129,"Up",48,0.0557491289198606,0.0576885935836354,0.333591631150717,0.555684301090172,0.209219858156028,1,120,2304,0.528089887640449,0.317758950993425,0.901537998386471,0.555684297442746,0.284356093344857,0.51748544556159,3,TRUE
"PECAM1",3.82795806925251,"Up",44,0.0511033681765389,0.0513354222763009,0.337779521380934,0.498987330938356,0.183932346723044,14,77,1936,0.48314606741573,0.282764562593691,0.918850393535466,0.4989873268255,0.238918384985801,0.484533347071238,4,TRUE
"ITGB2",1.8084435072249,"Up",43,0.0499419279907085,0.0543285499860896,0.323684210526316,0.434796843952555,0.158361018826135,11,52,1849,0.471910112359551,0.299251238072665,0.86058153311922,0.434796839312754,0.228176318063959,0.45894320818563,5,TRUE
"CXCL8",2.11468342175027,"Up",44,0.0511033681765389,0.0326159174553967,0.315615835777126,0.53836981914901,0.228329809725159,1,120,1936,0.48314606741573,0.179654227508416,0.827227532849516,0.538369815359449,0.238918384985801,0.453463205623782,6,TRUE
"BCL2",2.51232035498644,"Up",37,0.0429732868757259,0.0894094707873533,0.33230412967966,0.29353323790307,0.10960960960961,5,75,1369,0.404494382022472,0.492483138890839,0.896215572774401,0.293533232103624,0.16890974194345,0.451127213546957,7,TRUE
"FGF2",1.6750347795953,"Up",41,0.0476190476190476,0.039239201247322,0.316777041942605,0.527960883680695,0.231707317073171,10,50,1681,0.449438202247191,0.216136443127051,0.83202786401416,0.527960879805685,0.20743301642178,0.446599281123173,8,TRUE
"ITGAM",1.66702039467958,"Up",41,0.0476190476190476,0.0358215243619173,0.32380594208349,0.444319495970374,0.21219512195122,1,120,1681,0.449438202247191,0.197311275888986,0.861084761404598,0.444319491408745,0.20743301642178,0.43191734947426,9,TRUE
"COL1A1",3.65294205286332,"Up",45,0.0522648083623693,0.0213173053159255,0.296079779917469,0.539349084697587,0.257575757575758,2,91,2025,0.49438202247191,0.117419478520908,0.746467078276256,0.539349080916064,0.249907395974812,0.42950501123199,10,TRUE
"IGF1",1.3521307967395,"Up",38,0.0441347270615563,0.0400071474226968,0.325889477668433,0.463075724523215,0.244665718349929,10,50,1444,0.415730337078652,0.220366426143585,0.869697926834118,0.463075720115557,0.178170144462279,0.429408110926838,11,TRUE
"CCL2",2.39618493287212,"Up",40,0.0464576074332172,0.0245815656919708,0.320789865871833,0.518394984442119,0.257692307692308,1,120,1600,0.438202247191011,0.13539960055938,0.848616549415912,0.518394980488582,0.197431781701445,0.427609031871266,12,TRUE
"KIT",-1.9803010299224,"Down",37,0.0429732868757259,0.0395316877816577,0.329128440366972,0.416507150701467,0.16966966966967,10,50,1369,0.404494382022472,0.217747510559219,0.883087533301207,0.416507145911524,0.16890974194345,0.418149262747574,13,TRUE
"CXCL12",5.38135898122799,"Up",35,0.040650406504065,0.00949603213618234,0.319125277983692,0.541012621590278,0.310924369747899,1,120,1225,0.382022471910112,0.052305820314696,0.8417352794457,0.541012617822412,0.151129769107297,0.393641191720043,14,TRUE
"ICAM1",2.36240812580402,"Up",35,0.040650406504065,0.0198656058132793,0.316195372750643,0.473811754331086,0.258823529411765,1,120,1225,0.382022471910112,0.10942326154866,0.829623291223644,0.473811750011561,0.151129769107297,0.389202108760255,15,TRUE
"COL1A2",3.25242309022047,"Up",39,0.0452961672473868,0.00899855373743373,0.290387858347386,0.51193263733483,0.349527665317139,2,91,1521,0.426966292134831,0.0495656215282743,0.722937140775182,0.511932633328244,0.187677491048278,0.379815835762962,16,FALSE
"MMP2",4.49304483105422,"Up",32,0.0371660859465738,0.012529008343408,0.314808043875686,0.510696372940201,0.298387096774194,2,91,1024,0.348314606741573,0.0690119883477025,0.82388818730149,0.510696368923466,0.126311890356834,0.375644608334213,17,FALSE
"PRKACB",3.36208444225778,"Up",33,0.0383275261324042,0.0848256612495534,0.298958333333333,0.0358812024596406,0.0909090909090909,7,128,1089,0.359550561797753,0.467234707271973,0.758366782292699,0.0358811945451072,0.13433757253982,0.35107416368947,18,FALSE
"PDGFRB",2.73551620390883,"Up",29,0.0336817653890825,0.0131275093221132,0.312522686025408,0.399538180198236,0.238916256157635,10,50,841,0.314606741573034,0.0723086373271266,0.814440705159913,0.399538175268994,0.10371650821089,0.340922153507991,19,FALSE
"PIK3R1",1.59205072847007,"Up",33,0.0383275261324042,0.0377418128208947,0.300943725969941,0.210589466604599,0.125,11,52,1089,0.359550561797753,0.207888563502087,0.766574232813452,0.21058946012426,0.13433757253982,0.335788078155474,20,FALSE
"CD36",-2.33918600891602,"Down",24,0.0278745644599303,0.0444215689661089,0.317360855141909,0.263709482319764,0.173913043478261,11,52,576,0.258426966292135,0.2446818388056,0.834441299955396,0.263709476275492,0.0709964193110261,0.33445120012793,21,FALSE
"IL7",1.62679014177615,"Up",28,0.032520325203252,0.00732295334045527,0.309489575844716,0.356774245755138,0.291005291005291,1,120,784,0.303370786516854,0.0403361189290104,0.80190207613862,0.356774240474843,0.0966786022965798,0.319812364871181,22,FALSE
"FYN",2.72541403385319,"Up",29,0.0336817653890825,0.0442444787442189,0.304455445544554,0.14779928296294,0.113300492610837,11,52,841,0.314606741573034,0.243706394620826,0.781091393862592,0.147799275967152,0.10371650821089,0.318184062846899,23,FALSE
"ITGA4",2.43479821738615,"Up",27,0.0313588850174216,0.00812190612473916,0.30020920502092,0.39798035078098,0.384615384615385,2,91,729,0.292134831460674,0.0447368918176624,0.763537783380538,0.39798034583895,0.0898876404494382,0.317655498589452,24,FALSE
"ITGA5",1.54191561570333,"Up",28,0.032520325203252,0.00974846113414669,0.296589734757148,0.385301720049228,0.386243386243386,2,91,784,0.303370786516854,0.0536962437695022,0.748575189809114,0.385301715003117,0.0966786022965798,0.317524507479033,25,FALSE
"COL3A1",4.76060067594518,"Up",31,0.0360046457607433,0.00456768185078334,0.278821243523316,0.413668740160228,0.404301075268817,2,91,961,0.337078651685393,0.0251595974735003,0.675121702604025,0.413668735346985,0.118533152241017,0.313912367870184,26,FALSE
"PDGFRA",3.92164138049084,"Up",29,0.0336817653890825,0.00832856107518993,0.299791086350975,0.337505204828615,0.238916256157635,10,50,841,0.314606741573034,0.0458751837432167,0.761809315050341,0.337505199390139,0.10371650821089,0.312702589593524,27,FALSE
"CALML5",-1.05942298959027,"Down",33,0.0383275261324042,0.0669100678885098,0.27900194426442,0.0196899733782699,0.0568181818181818,7,128,1089,0.359550561797753,0.368552458335246,0.675868704665143,0.0196899653308214,0.13433757253982,0.311599852533756,28,FALSE
"FBN1",3.13680351581926,"Up",30,0.0348432055749129,0.00882079137219284,0.280913539967374,0.376079874091914,0.377011494252874,2,91,900,0.325842696629214,0.0485864750593426,0.683771084707454,0.3760798689701,0.111001358192369,0.309056296711696,29,FALSE
"CCL5",1.41418932846345,"Up",29,0.0336817653890825,0.00367837848580247,0.290094339622642,0.368679671866758,0.38423645320197,1,120,841,0.314606741573034,0.0202611576465428,0.721723758411493,0.368679666684196,0.10371650821089,0.305797566505231,30,FALSE
"FLT1",2.15383255682664,"Up",27,0.0313588850174216,0.00601151044582499,0.296589734757148,0.339844595042892,0.225071225071225,10,50,729,0.292134831460674,0.0331124600980607,0.748575189809114,0.33984458962362,0.0898876404494382,0.300710942288181,31,FALSE
"DCN",1.35805670614983,"Up",27,0.0313588850174216,0.00505492881658891,0.284628099173554,0.375243776807393,0.324786324786325,2,91,729,0.292134831460674,0.0278434397222222,0.699126768177313,0.375243771678715,0.0898876404494382,0.296847290297673,32,FALSE
"COL6A1",2.40943654323093,"Up",28,0.032520325203252,0.00113818978510342,0.274904214559387,0.402943013617451,0.502645502645503,2,91,784,0.303370786516854,0.00626935013802259,0.658929025741507,0.40294300871616,0.0966786022965798,0.293638154681824,33,FALSE
"COL4A1",3.65923953738175,"Up",27,0.0313588850174216,0.00130561836708363,0.274816469837217,0.396453897109851,0.524216524216524,2,91,729,0.292134831460674,0.00719157630564825,0.658566296247909,0.39645389215529,0.0898876404494382,0.288846847323792,34,FALSE
"CSF1",1.18567076585738,"Up",24,0.0278745644599303,0.00297532343845684,0.295876288659794,0.349695543156655,0.347826086956522,1,120,576,0.258426966292135,0.0163886064114135,0.745625862086582,0.34969553781825,0.0709964193110261,0.288226678383881,35,FALSE
"COL4A2",3.4675150003765,"Up",27,0.0313588850174216,0.00381008902389315,0.273942093541203,0.354050352878876,0.427350427350427,2,91,729,0.292134831460674,0.0209866425269776,0.654951696267162,0.35405034757622,0.0898876404494382,0.282402231656094,36,FALSE
"FGF18",1.04114981199493,"Up",20,0.0232288037166086,0.00413702251590391,0.307061340941512,0.307180673591666,0.31578947368421,10,50,400,0.213483146067416,0.0227874498792204,0.791863951964417,0.307180667904253,0.0492653414001729,0.276916111443096,37,FALSE
"CCN2",2.73757362627349,"Up",20,0.0232288037166086,0.011172290784169,0.297923875432526,0.305631960990835,0.373684210526316,2,91,400,0.213483146067416,0.0615389486766431,0.754090418071269,0.305631955290709,0.0492653414001729,0.276801961901242,38,FALSE
"ITGA1",1.54606609014291,"Up",23,0.0267131242740999,0.00632441337989546,0.288249079343823,0.321845682893057,0.482213438735178,2,91,529,0.247191011235955,0.0348359846618698,0.714095603578507,0.32184567732603,0.0651932337325596,0.276632302106984,39,FALSE
"COL5A1",1.65960994102382,"Up",26,0.0301974448315912,0.00277261504880425,0.273942093541203,0.346431311161932,0.473846153846154,2,91,676,0.280898876404494,0.0152720528389956,0.654951696267162,0.346431305796731,0.0833436226694654,0.27617951079537,40,FALSE
"PPARGC1A",1.96551063437415,"Up",19,0.0220673635307782,0.056034250188795,0.299791086350975,0.0628302325537169,0.105263157894737,5,75,361,0.202247191011236,0.30864653571214,0.761809315050341,0.0628302248604104,0.0444499320903815,0.275996639744902,41,FALSE
"CXCL1",3.46395946102032,"Up",23,0.0267131242740999,0.00171582106418184,0.288635601743212,0.341035067739925,0.529644268774704,1,120,529,0.247191011235955,0.00945104513002908,0.715693455514516,0.341035062330426,0.0651932337325596,0.275712761588697,42,FALSE
"IRS1",2.62867740569029,"Up",21,0.024390243902439,0.00768786437145831,0.31004681310767,0.250086947020468,0.295238095238095,10,50,441,0.224719101123595,0.0423461132660946,0.804205649336026,0.250086940864368,0.054327694777133,0.275137099873443,43,FALSE
"COL6A2",1.54770382055129,"Up",25,0.0290360046457607,0.000742513572151947,0.273159898477157,0.37311861851894,0.57,2,91,625,0.269662921348315,0.0040898957511128,0.651718165948092,0.373118613372817,0.0770465489566613,0.2751272290754,44,FALSE
"FGF9",-1.24153074381668,"Down",20,0.0232288037166086,0.00645990288756478,0.305427456544874,0.284914855251222,0.21578947368421,10,50,400,0.213483146067416,0.0355822847734369,0.785109607712918,0.284914849381027,0.0492653414001729,0.273671045866994,45,FALSE
"ENG",1.97628893124351,"Up",23,0.0267131242740999,0.0134794698284339,0.296487603305785,0.230609850637175,0.201581027667984,14,77,529,0.247191011235955,0.0742472978895037,0.748152986755564,0.230609844321186,0.0651932337325596,0.273078874786954,46,FALSE
"NT5E",2.91383743378992,"Up",18,0.0209059233449477,0.0502871857906204,0.295673076923077,0.105683123466239,0.176470588235294,7,128,324,0.191011235955056,0.276990691098627,0.744785801413651,0.105683116124715,0.039881466847759,0.271670462287962,47,FALSE
"BGN",1.29846956876938,"Up",25,0.0290360046457607,0.00203162022463553,0.274641148325359,0.335983201111591,0.406666666666667,2,91,625,0.269662921348315,0.0111905226197149,0.657841531479839,0.335983195660621,0.0770465489566613,0.27034494401303,48,FALSE
"CCR1",1.13056032794777,"Up",23,0.0267131242740999,0.00536751866846769,0.291567897053844,0.280978190619927,0.41897233201581,1,120,529,0.247191011235955,0.0295652397740849,0.727815324121511,0.280978184717416,0.0651932337325596,0.270148598716305,49,FALSE
"GNG2",2.74876275047917,"Up",24,0.0278745644599303,0.0370007109402186,0.287575150300601,0.0982223992528226,0.148550724637681,7,128,576,0.258426966292135,0.203806443596677,0.711309636120606,0.0982223918500534,0.0709964193110261,0.268552371434099,50,FALSE
