gsm,series,platform,group,is_anchor
GSM1361185,GSE56421,GPL6244,Cultured,FALSE
GSM1361186,GSE56421,GPL6244,Cultured,FALSE
GSM1361187,GSE56421,GPL6244,Cultured,FALSE
GSM1361188,GSE56421,GPL6244,Cornea,TRUE
GSM1361189,GSE56421,GPL6244,Cornea,TRUE
GSM1361190,GSE56421,GPL6244,Cornea,TRUE
GSM724093,GSE38190,GPL570,Conjunctiva,FALSE
GSM724095,GSE38190,GPL570,Conjunctiva,FALSE
GSM724096,GSE38190,GPL570,Cornea,TRUE
GSM724097,GSE38190,GPL570,Cornea,TRUE
GSM724098,GSE38190,GPL570,Cornea,TRUE
GSM932369,GSE38190,GPL570,Conjunctiva,FALSE
GSM932370,GSE38190,GPL570,Limbus,FALSE
GSM932371,GSE38190,GPL570,Limbus,FALSE
GSM932372,GSE38190,GPL570,Limbus,FALSE
GSM932373,GSE38190,GPL570,Limbus,FALSE
