gsm,series,platform,group
GSM1361185,GSE56421,GPL6244,Cultured
GSM1361186,GSE56421,GPL6244,Cultured
GSM1361187,GSE56421,GPL6244,Cultured
GSM1361188,GSE56421,GPL6244,Cornea
GSM1361189,GSE56421,GPL6244,Cornea
GSM1361190,GSE56421,GPL6244,Cornea
GSM1361191,GSE56421,GPL6244,Fibroblast
GSM1361192,GSE56421,GPL6244,Fibroblast
GSM1361193,GSE56421,GPL6244,Fibroblast
GSM724093,GSE38190,GPL570,Conjunctiva
GSM724094,GSE38190,GPL570,Conjunctiva_outlier
GSM724095,GSE38190,GPL570,Conjunctiva
GSM724096,GSE38190,GPL570,Cornea
GSM724097,GSE38190,GPL570,Cornea
GSM724098,GSE38190,GPL570,Cornea
GSM932369,GSE38190,GPL570,Conjunctiva
GSM932370,GSE38190,GPL570,Limbus
GSM932371,GSE38190,GPL570,Limbus
GSM932372,GSE38190,GPL570,Limbus
GSM932373,GSE38190,GPL570,Limbus
