Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
CNTN4,-3.68621712226523,5.529208117749825,-16.088723654558585,5.203778282653245e-11,3.375705036222789e-8,15.581501087406343,Down,C1
XM_006713005,-3.68621712226523,5.529208117749825,-16.088723654558585,5.203778282653245e-11,3.375705036222789e-8,15.581501087406343,Down,C1
NLK,-2.0637017507577653,7.11856745464391,-15.619147812382188,7.99364170193355e-11,4.8719760992400006e-8,15.171708933105135,Down,C1
ST6GALNAC3,-2.268361527805756,7.252342789690249,-14.821335818725293,1.7029442200165278e-10,8.133358031634861e-8,14.444509882581658,Down,C1
XM_006710554,-2.268361527805756,7.252342789690249,-14.821335818725293,1.7029442200165278e-10,8.133358031634861e-8,14.444509882581658,Down,C1
EPB41L4B,-1.977918661254682,6.469753888782143,-14.592974696576904,2.1285317862402757e-10,9.288912715152562e-8,14.228819285386892,Down,C1
CFAP68,-1.5244245625780097,5.935343350474328,-14.466346208401953,2.4119800171732455e-10,9.802370591208299e-8,14.107712950824157,Down,C1
NSG1,-1.8377737400384984,8.55710032866909,-14.10074610434023,3.4792389284186097e-10,1.1929813251414782e-7,13.751885584072875,Down,C1
ADIRF,-1.5360584341844774,13.322851476358633,-13.190032459804732,8.99217073828675e-10,2.632074171467787e-7,12.82365716323408,Down,C1
RAPH1,-1.4328065572374973,7.371820561492576,-13.132387897427842,9.567011480393578e-10,2.7665952958121286e-7,12.762797750590957,Down,C1
DLG3,-1.3669348031649244,5.4874047705367905,-12.910642894658215,1.2168573936027114e-9,3.245223462361364e-7,12.526248206989822,Down,C1
XR_430518,-1.3669348031649244,5.4874047705367905,-12.910642894658215,1.2168573936027114e-9,3.245223462361364e-7,12.526248206989822,Down,C1
LGALSL,-2.847953163046207,8.843720155424588,-12.716644515318286,1.5061853199235513e-9,3.80541684724264e-7,12.316069885258043,Down,C1
MSX2,-2.5651771076415253,6.316578633752121,-12.501395350217708,1.914521638678316e-9,4.4797697976280036e-7,12.079262108374495,Down,C1
MRPL33,-1.5252749708552908,11.757044214060048,-12.296456428785595,2.4135100340696614e-9,5.172238199798216e-7,11.850192872699337,Down,C1
TMEM144,-1.7977636555516332,5.4301377370852535,-12.255946585270008,2.527531346112553e-9,5.229810980120129e-7,11.80449007795873,Down,C1
XM_005263112,-1.7977636555516332,5.4301377370852535,-12.255946585270008,2.527531346112553e-9,5.229810980120129e-7,11.80449007795873,Down,C1
LYPD6B,-2.145392372931001,8.95476453156019,-12.16305843651597,2.8110742481337817e-9,5.530442959320249e-7,11.699160759147214,Down,C1
XM_006712279,-2.145392372931001,8.95476453156019,-12.16305843651597,2.8110742481337817e-9,5.530442959320249e-7,11.699160759147214,Down,C1
XM_006712280,-2.145392372931001,8.95476453156019,-12.16305843651597,2.8110742481337817e-9,5.530442959320249e-7,11.699160759147214,Down,C1
DGKB,-2.67777838876135,3.822035975392229,-12.019969547298249,3.315697627408116e-9,6.169253833569736e-7,11.535437511596667,Down,C1
XR_428070,-2.67777838876135,3.822035975392229,-12.019969547298249,3.315697627408116e-9,6.169253833569736e-7,11.535437511596667,Down,C1
ANKRD18A,-1.8128594374832838,5.597549717607515,-11.845232786486138,4.065291976648437e-9,6.871488593205337e-7,11.333049278849328,Down,C1
XM_006716749,-1.8128594374832838,5.597549717607515,-11.845232786486138,4.065291976648437e-9,6.871488593205337e-7,11.333049278849328,Down,C1
GRIN2A,-3.1770248352182744,6.740530058864213,-11.83546318498367,4.112180454269078e-9,6.902136731703945e-7,11.321653090162831,Down,C1
