Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
SCN2A,-2.0499456867174475,3.5775394552623845,-12.741237115985506,1.465782373433868e-9,2.9335670163350523e-5,10.794552981150142,Down,C2
HNF4G,-1.8359238169568268,4.503056776489233,-8.93869327151206,1.808083978948916e-7,6.199661666104555e-4,7.103273072452973,Down,C2
PTHLH,-2.239481557858565,4.48244948395766,-8.274919072283733,4.86962762779289e-7,0.0012289918146469168,6.274302914381376,Down,C2
XM_006719115,-2.239481557858565,4.48244948395766,-8.274919072283733,4.86962762779289e-7,0.0012289918146469168,6.274302914381376,Down,C2
TNFSF11,-0.8076446869367935,3.331008147776399,-7.358094160580839,2.091620962861654e-6,0.0029531227265062014,5.0203155846478555,Down,C2
PAX9,-1.6025852714671132,3.1982480408845095,-6.6585862957855655,6.848957239769228e-6,0.0060884693210718896,3.9735186381713348,Down,C2
TLR4,-1.3391691077232828,4.363904247113973,-6.058802380522891,1.997172088689556e-5,0.012834335852984,3.012077145891716,Down,C2
IGSF10,-1.3028098831980097,4.881670013302678,-5.865906373066892,2.847432995672269e-5,0.014238351408776209,2.6903919571943185,Down,C2
XM_006713596,-1.3028098831980097,4.881670013302678,-5.865906373066892,2.847432995672269e-5,0.014238351408776209,2.6903919571943185,Down,C2
XM_006713597,-1.3028098831980097,4.881670013302678,-5.865906373066892,2.847432995672269e-5,0.014238351408776209,2.6903919571943185,Down,C2
GREM2,-1.227418563087455,4.711624847571259,-5.8425638244480735,2.9733300483946483e-5,0.014564462820728234,2.6510586493210813,Down,C2
MMP7,-2.1228278134511713,5.975486469724997,-5.811889693048732,3.147625638110127e-5,0.014813590307042991,2.5992390038853177,Down,C2
SIRT2,-0.8224238263310548,5.746130977854433,-5.600883448458505,4.673689010439012e-5,0.018696313938092863,2.238741427016878,Down,C2
XM_006723111,-0.8224238263310548,5.746130977854433,-5.600883448458505,4.673689010439012e-5,0.018696313938092863,2.238741427016878,Down,C2
ANXA9,-1.456285296596282,5.311356153866079,-5.246959161774858,9.190577606339329e-5,0.028808679810598616,1.6187073387622162,Down,C2
XM_005245539,-1.456285296596282,5.311356153866079,-5.246959161774858,9.190577606339329e-5,0.028808679810598616,1.6187073387622162,Down,C2
AGR3,-1.8733834072816493,3.619195574370185,-5.116077739913296,1.1849585769459759e-4,0.03243088929809399,1.384755603100082,Down,C2
PRDM6,-1.1706018350646934,3.9545174208205207,-5.086386821330815,1.2556434888658013e-4,0.03243088929809399,1.3313473888953853,Down,C2
XM_005272128,-1.1706018350646934,3.9545174208205207,-5.086386821330815,1.2556434888658013e-4,0.03243088929809399,1.3313473888953853,Down,C2
MYRF,-0.9414111132005054,5.808492459010126,-4.994873689283106,1.502154857802815e-4,0.03500458339512928,1.165972876430648,Down,C2
ACTR3C,-0.5971518856936902,5.4511120111511975,-4.928820831796652,1.7106945784642387e-4,0.037601959330208046,1.0459101582356265,Down,C2
PAMR1,-1.3776739151456017,6.74416719389588,-4.919873135486565,1.7411548232616896e-4,0.037601959330208046,1.029602083591338,Down,C2
MMEL1,-0.6117378799264843,6.466901131371528,-4.908072169223476,1.7821844692370264e-4,0.037601959330208046,1.0080777490100692,Down,C2
MTAP,-0.8574726771968626,5.371939851555256,-4.896190628942138,1.824500624397182e-4,0.03781548375810257,0.9863882747554653,Down,C2
KRT2,-1.0635641056740024,4.386465342438688,-4.884652425499789,1.8665842995554144e-4,0.03796759013383818,0.965308184682514,Down,C2
WDR37,-0.6267890843303654,6.964293825557642,-4.846110213900314,2.0145463862970283e-4,0.039633723249099403,0.8947692985473754,Down,C2
AREG,-1.9547657132005591,5.862197919332067,-4.786681416522805,0.00022667435427055973,0.04185106039386134,0.7856395763029091,Down,C2
TAB3,-0.5392422325415307,3.817974725867339,-4.743936703818902,2.4680339960377116e-4,0.04487708482795239,0.7068795048699164,Down,C2
XR_430492,-0.5392422325415307,3.817974725867339,-4.743936703818902,2.4680339960377116e-4,0.04487708482795239,0.7068795048699164,Down,C2
PSMB8,-0.5161668673310515,9.572335080656247,-4.710298258794422,2.6393002090606193e-4,0.04657976736608308,0.6447446102989289,Down,C2
XM_005275000,-0.5161668673310515,9.572335080656247,-4.710298258794422,2.6393002090606193e-4,0.04657976736608308,0.6447446102989289,Down,C2
DYRK2,-0.7574961590813096,6.74825908811636,-4.6796804372260565,2.8057922927102153e-4,0.048800454064949705,0.5880737887205685,Down,C2
RBM48,-0.7271616416495963,4.87406479301222,-4.67563659433951,2.8285738622488315e-4,0.048842755281796005,0.5805808831644583,Down,C2
FAM83E,-0.681409844016736,5.172163078681863,-4.664681303525075,2.8912506099988276e-4,0.04939826513770367,0.5602722063533427,Down,C2
CR1,-1.0426403220405187,3.490993718889836,-4.635550392749081,3.0649382326139793e-4,0.049772919199754365,0.5062035379571741,Down,C2
UNC5CL,-0.6980219532562266,6.302522045869394,-4.631517842037097,3.0898112493806353e-4,0.049772919199754365,0.4987113504397449,Down,C2
