Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
PRR16,1.7484077298156677,3.779168088905413,11.895100032240588,3.8346181114107795e-9,2.9335670163350523e-5,10.107613201725686,Up,C2
XM_005272012,1.7484077298156677,3.779168088905413,11.895100032240588,3.8346181114107795e-9,2.9335670163350523e-5,10.107613201725686,Up,C2
CYTL1,5.438966321468936,8.571454923464048,11.688869386552353,4.888870954645533e-9,2.9335670163350523e-5,9.929838458334183,Up,C2
THBS4,2.836502185835295,9.585171439352074,9.93058813356797,4.511520108119808e-8,2.1657101127018323e-4,8.228559648087039,Up,C2
FA2H,2.0668903935832503,9.504088944862522,9.4094815160725,9.23265827905446e-8,3.6933710668977525e-4,7.6536315360738065,Up,C2
ITGA10,2.679640852310234,7.4089224180267035,8.124064604606616,6.144447035981585e-7,0.0012289918146469168,6.076871953159392,Up,C2
XM_005277432,2.679640852310234,7.4089224180267035,8.124064604606616,6.144447035981585e-7,0.0012289918146469168,6.076871953159392,Up,C2
XM_005277435,2.679640852310234,7.4089224180267035,8.124064604606616,6.144447035981585e-7,0.0012289918146469168,6.076871953159392,Up,C2
SYNPR,3.133678561403821,7.0077154425651935,8.020612178427287,7.218441600147327e-7,0.0013327464252825857,5.939488703652543,Up,C2
POU3F3,2.7635071701314997,7.657313322080208,7.855435385727164,9.361652160377693e-7,0.0016049883939527527,5.716739789457339,Up,C2
FIBIN,3.0666540973279677,8.251382031596279,7.787658161933514,1.0425969615858464e-6,0.0016682941514655659,5.624119036123767,Up,C2
GRP,5.0052134314460375,7.188142956878918,7.731716349983285,1.1400034746476075e-6,0.0017101477124057422,5.547133109629019,Up,C2
EMX2,2.3936902045223407,8.041852609214045,7.23802649253536,2.551970423653002e-6,0.0034029107838066306,4.846289143719446,Up,C2
PWWP3B,2.2515025218664957,4.164494380192348,7.010251997562759,3.741646534465083e-6,0.004726684216854259,4.509746462301335,Up,C2
PTGDS,3.734560086916007,11.805280064010768,6.8532298105335,4.8909847693161275e-6,0.005550402635428103,4.272820641626053,Up,C2
COL17A1,1.4074391479461195,9.837859558481606,6.852145726341839,4.900095324637775e-6,0.005550402635428103,4.271170875373883,Up,C2
CPXM2,2.7176414673701705,9.5574450748555,6.785082349008589,5.499680157461898e-6,0.005550402635428103,4.16873862741202,Up,C2
SHC3,2.1966970327693733,6.094156467611057,6.783805885368867,5.5118098704557265e-6,0.005550402635428103,4.166781806232713,Up,C2
GHR,1.3715941800769302,6.985539502704931,6.779812316429797,5.549940140416401e-6,0.005550402635428103,4.160657929735759,Up,C2
TNC,3.091895863185849,6.724347548985731,6.696660397432604,6.409793401916988e-6,0.006029690930712592,4.03255469930337,Up,C2
MATN2,1.8386821733651928,9.884577112867037,6.685831392357167,6.531620873199208e-6,0.006029690930712592,4.0157879726855885,Up,C2
ABI3BP,1.9198901406986497,9.91853700610743,6.615792855518309,7.380319551337834e-6,0.006326515352543238,3.9068803238678402,Up,C2
KCNE4,2.9500945654893096,6.297753650803098,6.5756026190411365,7.91864974078914e-6,0.006553911416497274,3.8440213172874724,Up,C2
PLPP3,1.422384382520562,9.596713848909552,6.398883355512101,1.0820294675373381e-5,0.008656957093277063,3.5644714373607034,Up,C2
LRRC3B,1.8688422344829432,3.7607463842738444,6.330003222159106,1.2234680823363854e-5,0.009472800294270297,3.4541196231226365,Up,C2
MTURN,1.1677655643035294,7.360716351020272,6.291331164281394,1.3112084922055422e-5,0.009834883196849194,3.3918221551315746,Up,C2
STON1,1.4421583643025127,7.7271563175258535,6.247239936821801,1.4193023668078598e-5,0.0103230592145825,3.320495572114469,Up,C2
KERA,4.934610253870174,8.599458859094916,6.207295307093533,1.5252565404786454e-5,0.010767413966049544,3.2556019996182908,Up,C2
PTGFR,1.476639402614797,5.184551743320969,6.053895576812265,2.0151457538515068e-5,0.012834335852984,3.003968827513667,Up,C2
XR_426624,1.476639402614797,5.184551743320969,6.053895576812265,2.0151457538515068e-5,0.012834335852984,3.003968827513667,Up,C2
COL8A1,3.8309066611366616,8.604396143327998,6.049353414003066,2.0319338489017248e-5,0.012834335852984,2.99645958130259,Up,C2
DKK3,2.057373184955728,9.561689136185619,5.988869435442416,2.2698951703524997e-5,0.0129719104473335,2.8961467719168432,Up,C2
XM_006718177,2.057373184955728,9.561689136185619,5.988869435442416,2.2698951703524997e-5,0.0129719104473335,2.8961467719168432,Up,C2
XM_006718179,2.057373184955728,9.561689136185619,5.988869435442416,2.2698951703524997e-5,0.0129719104473335,2.8961467719168432,Up,C2
XM_006718180,2.057373184955728,9.561689136185619,5.988869435442416,2.2698951703524997e-5,0.0129719104473335,2.8961467719168432,Up,C2
ROBO2,1.5845587416236988,7.469096422484029,5.949108281274373,2.4419781854442094e-5,0.013320991001598163,2.829880492998038,Up,C2
XM_006713279,1.5845587416236988,7.469096422484029,5.949108281274373,2.4419781854442094e-5,0.013320991001598163,2.829880492998038,Up,C2
SNAI1,1.0915883240604298,5.204247450677625,5.901096556622508,2.6680127399225056e-5,0.014230587063026661,2.7495242030059934,Up,C2
ANGPT1,2.7125921135177493,4.161440491382219,5.8204065988515605,3.098191707350089e-5,0.014813590307042991,2.6136421648002504,Up,C2
AHNAK2,1.1124457010496762,9.916378865612593,5.717143230877584,3.75619958409864e-5,0.017028801210897192,2.4382343354515115,Up,C2
ADARB1,2.163100902269113,7.284547763493117,5.706591471266211,3.831161009034449e-5,0.017028801210897192,2.4202157036155914,Up,C2
XM_006723955,2.163100902269113,7.284547763493117,5.706591471266211,3.831161009034449e-5,0.017028801210897192,2.4202157036155914,Up,C2
C14orf132,1.6026732218879332,8.363177001614721,5.679853715097123,4.0281465096699505e-5,0.017578831368199665,2.3744788001609773,Up,C2
DLG2,0.9839519286086231,5.956829344721315,5.603176964950996,4.6535017389215286e-5,0.018696313938092863,2.2426973079263472,Up,C2
XM_006718438,0.9839519286086231,5.956829344721315,5.603176964950996,4.6535017389215286e-5,0.018696313938092863,2.2426973079263472,Up,C2
XM_006718440,0.9839519286086231,5.956829344721315,5.603176964950996,4.6535017389215286e-5,0.018696313938092863,2.2426973079263472,Up,C2
MGARP,2.7047101646612646,11.377811248235554,5.5868024958708755,4.7996350299159e-5,0.018885383604596958,2.2144365867698035,Up,C2
CNTNAP4,0.9339932395397765,5.026144861144637,5.564943463028543,5.002169175229561e-5,0.019364849119977406,2.1766453995571666,Up,C2
MYOC,5.664679670706748,8.27233403114328,5.518946076742462,5.457829807064601e-5,0.020793465242724532,2.096882018918258,Up,C2
SUCO,1.2740754731636201,10.757548663721032,5.485566259420989,5.815291315666626e-5,0.021473634178250822,2.0387956440321897,Up,C2
XM_005245251,1.2740754731636201,10.757548663721032,5.485566259420989,5.815291315666626e-5,0.021473634178250822,2.0387956440321897,Up,C2
CDH11,3.225286301982006,8.09061022224526,5.449552474144026,6.22827926711307e-5,0.02198399396606587,1.9759355968657601,Up,C2
XM_005255762,3.225286301982006,8.09061022224526,5.449552474144026,6.22827926711307e-5,0.02198399396606587,1.9759355968657601,Up,C2
XM_005255767,3.225286301982006,8.09061022224526,5.449552474144026,6.22827926711307e-5,0.02198399396606587,1.9759355968657601,Up,C2
EPB41L4B,0.8721468447499534,6.469753888782143,5.438272903464161,6.363785427028636e-5,0.02213675040862918,1.9562073508543811,Up,C2
PLCXD3,0.9446509813504811,3.504321255015097,5.343566807110214,7.629241788090031e-5,0.0259128926080227,1.7898111211852115,Up,C2
WNK4,1.077045664803741,4.214837888843757,5.3411154371937375,7.665258624987967e-5,0.0259128926080227,1.7854863927748772,Up,C2
HACD1,0.845366817129344,5.104523102320779,5.279113245151117,8.637189714126792e-5,0.028330309977319022,1.6758074858895808,Up,C2
XR_428651,0.845366817129344,5.104523102320779,5.279113245151117,8.637189714126792e-5,0.028330309977319022,1.6758074858895808,Up,C2
FGF18,1.7677514137662138,5.77676283185867,5.273310383577893,8.73445103875347e-5,0.028330309977319022,1.6655137040923176,Up,C2
CTSF,0.6523510176447189,8.639318442381215,5.244072753455671,9.242014604683332e-5,0.028808679810598616,1.6135742432678146,Up,C2
DNER,3.0410349645406427,6.932088606083965,5.206877312972725,9.932119048240945e-5,0.030354325138196806,1.5473197133885845,Up,C2
ITGBL1,3.561049498654114,9.310207563821189,5.203838665762095,9.990799458034947e-5,0.030354325138196806,1.5418983402709676,Up,C2
PALS2,1.0514502963781842,6.569046680868957,5.1677798259663055,1.0715126769168774e-4,0.03171740143457955,1.477463871048326,Up,C2
XM_006715741,1.0514502963781842,6.569046680868957,5.1677798259663055,1.0715126769168774e-4,0.03171740143457955,1.477463871048326,Up,C2
RAMP2,0.69391078048716,5.494110865838761,5.16201434816266,1.083587583382853e-4,0.03171740143457955,1.4671442831078725,Up,C2
CDHR1,0.8280451152370718,5.534876729440014,5.106123341887305,1.2081875786599298e-4,0.03243088929809399,1.3668631966172482,Up,C2
DSC2,1.4120889195117794,7.30687452947275,5.0973162682350655,1.2291310101704875e-4,0.03243088929809399,1.351021558671083,Up,C2
TGFBI,1.1327413536081785,13.690428122565994,5.0881649324105975,1.2512903096663564e-4,0.03243088929809399,1.3345493027938335,Up,C2
COL8A2,3.199500147778595,7.760069543605464,5.087213639236096,1.2536173292962028e-4,0.03243088929809399,1.3328363264006962,Up,C2
SAA2-SAA4,4.1649913242425995,9.946013896834923,5.078394373282097,1.2754044601669015e-4,0.03243088929809399,1.3169496914057834,Up,C2
NTRK3,1.6270892796668752,6.08819060802822,5.06444098767679,1.3106761837253537e-4,0.03243088929809399,1.2917928239015941,Up,C2
XM_006720542,1.6270892796668752,6.08819060802822,5.06444098767679,1.3106761837253537e-4,0.03243088929809399,1.2917928239015941,Up,C2
XM_006720547,1.6270892796668752,6.08819060802822,5.06444098767679,1.3106761837253537e-4,0.03243088929809399,1.2917928239015941,Up,C2
XM_006720551,1.6270892796668752,6.08819060802822,5.06444098767679,1.3106761837253537e-4,0.03243088929809399,1.2917928239015941,Up,C2
XM_006720552,1.6270892796668752,6.08819060802822,5.06444098767679,1.3106761837253537e-4,0.03243088929809399,1.2917928239015941,Up,C2
SPOCK1,1.7965344373131913,10.40607605958512,5.062691439018301,1.3151691923547664e-4,0.03243088929809399,1.2886366392933057,Up,C2
NANOS1,2.8215085656082985,6.462722537789612,5.059212400046045,1.3241509670915803e-4,0.03243088929809399,1.2823592101193473,Up,C2
WNT3,1.2616978601133004,7.722735751870044,5.030983447649669,1.399409625403328e-4,0.033652069780757084,1.2313630551938646,Up,C2
GJB2,1.7787514416546575,12.093198053621043,5.024944908258691,1.4160732638348743e-4,0.033652069780757084,1.2204402653247861,Up,C2
XM_005266354,1.7787514416546575,12.093198053621043,5.024944908258691,1.4160732638348743e-4,0.033652069780757084,1.2204402653247861,Up,C2
SOD3,1.482949067375836,7.769718639697978,5.018376809926932,1.4344306983521467e-4,0.03375412315867473,1.2085539891854484,Up,C2
LRP6,0.8203526527820504,8.305246212865143,4.982724003462598,1.5384479009146525e-4,0.03550560242091682,1.1439320299027624,Up,C2
WASF3,1.168785631474445,8.554600374611624,4.965301840699416,1.5920745273427742e-4,0.0363933074336012,1.112292076300954,Up,C2
CEP126,1.1652786748535195,4.588604136784477,4.952993057120886,1.631119880499874e-4,0.03693409374694149,1.0899141950662692,Up,C2
