Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
LAMB3,-2.11115031801425,10.522008579330869,-15.57299618089944,8.343260000243551e-11,2.002549265258457e-6,14.337199009835087,Down,C3
PTHLH,-3.758645546126397,4.48244948395766,-13.888253558710446,4.321274817986603e-10,2.862999176477103e-6,12.983156089784485,Down,C3
XM_006719115,-3.758645546126397,4.48244948395766,-13.888253558710446,4.321274817986603e-10,2.862999176477103e-6,12.983156089784485,Down,C3
PLPP3,2.980131901964592,9.596713848909552,13.406725115273954,7.138143699027823e-10,2.862999176477103e-6,12.557724079035472,Up,C3
MFAP5,3.3236882167649138,4.707494653678284,13.404245311898743,7.156901532731697e-10,2.862999176477103e-6,12.555485398891689,Up,C3
XR_242903,3.3236882167649138,4.707494653678284,13.404245311898743,7.156901532731697e-10,2.862999176477103e-6,12.555485398891689,Up,C3
PMP22,3.070665602223265,9.596201773970387,13.063195268318102,1.0308886276971174e-9,3.5347698345694586e-6,12.242792089711715,Up,C3
PRR16,1.8803334634009632,3.779168088905413,12.79264227657124,1.3849920097565864e-9,3.6936198020197318e-6,11.987792670802639,Up,C3
XM_005272012,1.8803334634009632,3.779168088905413,12.79264227657124,1.3849920097565864e-9,3.6936198020197318e-6,11.987792670802639,Up,C3
ABI3BP,3.3201432292423068,9.91853700610743,11.440956641053184,6.577043190716896e-9,1.1694771096029835e-5,10.614849846750202,Up,C3
DOCK10,1.9139578251792724,4.522035586381062,11.43115430952318,6.655340958909287e-9,1.1694771096029835e-5,10.604253663603915,Up,C3
XM_006712616,1.9139578251792724,4.522035586381062,11.43115430952318,6.655340958909287e-9,1.1694771096029835e-5,10.604253663603915,Up,C3
XM_006712618,1.9139578251792724,4.522035586381062,11.43115430952318,6.655340958909287e-9,1.1694771096029835e-5,10.604253663603915,Up,C3
CXCL12,4.024446312782069,6.138090452496608,11.410764944319023,6.8213813575709404e-9,1.1694771096029835e-5,10.582182010095034,Up,C3
TGFA,-2.85786752225815,5.770218147877647,-11.310419891195446,7.704885870588027e-9,1.2328844711056922e-5,10.472943932725366,Down,C3
CTSF,1.3932697322874459,8.639318442381215,11.200117181824131,8.817461258886823e-9,1.3227294070987595e-5,10.351678549367682,Up,C3
JAM2,2.066761355686811,4.675240058538733,10.915624429284673,1.2547842936125264e-8,1.67318514529377e-5,10.033066383756191,Up,C3
XM_006724037,2.066761355686811,4.675240058538733,10.915624429284673,1.2547842936125264e-8,1.67318514529377e-5,10.033066383756191,Up,C3
NID1,2.5462210279276016,7.5999340135009925,10.727959998289966,1.5899151139710555e-8,2.0084811876596462e-5,9.818184668244006,Up,C3
DSG2,-2.374230907894894,6.3811707525806405,-10.239108363838684,2.9914663854029534e-8,3.590058809122084e-5,9.240223418536063,Down,C3
LAMA4,2.1626133365740365,6.165740500226513,10.085462663551837,3.666342735145741e-8,4.0292775299175994e-5,9.052969145469483,Up,C3
PTGFR,2.4505362235397277,5.184551743320969,10.046657551082154,3.8610692104035e-8,4.0292775299175994e-5,9.0052415759605,Up,C3
XR_426624,2.4505362235397277,5.184551743320969,10.046657551082154,3.8610692104035e-8,4.0292775299175994e-5,9.0052415759605,Up,C3
PPBP,-2.3537548948240423,3.622458217540803,-9.537868076590238,7.718837706813358e-8,7.719480943288925e-5,8.362860599417312,Down,C3
DDR2,2.923887604431277,7.5987758105304835,9.467489560422706,8.513170257091268e-8,7.858965865796331e-5,8.271520744063508,Up,C3
XM_006711345,2.923887604431277,7.5987758105304835,9.467489560422706,8.513170257091268e-8,7.858965865796331e-5,8.271520744063508,Up,C3
ITGB4,-2.273744380065856,4.899299522895841,-9.297205611605794,1.0813705745765041e-7,9.60917310102301e-5,8.047959608549533,Down,C3
CTSC,-1.762099444374643,7.67871109742569,-9.271790512680669,1.1209767803876523e-7,9.60917310102301e-5,8.014279298613152,Down,C3
ADGRD1,2.093237384043692,5.04559907405745,9.129887777530179,1.3721083111469109e-7,1.135632540832695e-4,7.8247150458037105,Up,C3
CTSK,1.7104197106940955,9.272996778464876,9.009660760964188,1.63129069682491e-7,1.2625507422364446e-4,7.662078867050038,Up,C3
MMP2,2.1157199025863633,8.664136959217137,8.996425879797373,1.6628244272283353e-7,1.2625507422364446e-4,7.644060802623663,Up,C3
PLXND1,1.833744456011961,7.2663829382100475,8.987989167575394,1.6832607179220994e-7,1.2625507422364446e-4,7.632563075951733,Up,C3
HACD1,1.4266040456532068,5.104523102320779,8.908800488015503,1.8884958095455252e-7,1.3113013913325296e-4,7.5241890857323686,Up,C3
XR_428651,1.4266040456532068,5.104523102320779,8.908800488015503,1.8884958095455252e-7,1.3113013913325296e-4,7.5241890857323686,Up,C3
CWH43,-3.034702760219723,3.643975821244851,-8.900260140819045,1.9121551827613757e-7,1.3113013913325296e-4,7.512451987159549,Down,C3
LAMA2,2.074643981692896,6.956825756117658,8.864411902535563,2.014925855730261e-7,1.3433958441454923e-4,7.463080497264963,Up,C3
