Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
LAMB3,-2.11115031801425,10.522008579330869,-15.57299618089944,8.343260000243551e-11,2.002549265258457e-6,14.337199009835087,Down,C3
PTHLH,-3.758645546126397,4.48244948395766,-13.888253558710446,4.321274817986603e-10,2.862999176477103e-6,12.983156089784485,Down,C3
XM_006719115,-3.758645546126397,4.48244948395766,-13.888253558710446,4.321274817986603e-10,2.862999176477103e-6,12.983156089784485,Down,C3
TGFA,-2.85786752225815,5.770218147877647,-11.310419891195446,7.704885870588027e-9,1.2328844711056922e-5,10.472943932725366,Down,C3
DSG2,-2.374230907894894,6.3811707525806405,-10.239108363838684,2.9914663854029534e-8,3.590058809122084e-5,9.240223418536063,Down,C3
PPBP,-2.3537548948240423,3.622458217540803,-9.537868076590238,7.718837706813358e-8,7.719480943288925e-5,8.362860599417312,Down,C3
ITGB4,-2.273744380065856,4.899299522895841,-9.297205611605794,1.0813705745765041e-7,9.60917310102301e-5,8.047959608549533,Down,C3
CTSC,-1.762099444374643,7.67871109742569,-9.271790512680669,1.1209767803876523e-7,9.60917310102301e-5,8.014279298613152,Down,C3
CWH43,-3.034702760219723,3.643975821244851,-8.900260140819045,1.9121551827613757e-7,1.3113013913325296e-4,7.512451987159549,Down,C3
TMEM156,-1.8647329945147435,3.59013082226674,-8.176800309763797,5.662934927488767e-7,2.344541488289286e-4,6.4825656382914065,Down,C3
XM_005262670,-1.8647329945147435,3.59013082226674,-8.176800309763797,5.662934927488767e-7,2.344541488289286e-4,6.4825656382914065,Down,C3
RPS6KA1,-1.3938835344999454,7.6537981317982515,-8.176506693786703,5.665503138104266e-7,2.344541488289286e-4,6.482133055880865,Down,C3
XM_005245966,-1.3938835344999454,7.6537981317982515,-8.176506693786703,5.665503138104266e-7,2.344541488289286e-4,6.482133055880865,Down,C3
XM_005245967,-1.3938835344999454,7.6537981317982515,-8.176506693786703,5.665503138104266e-7,2.344541488289286e-4,6.482133055880865,Down,C3
PI3,-3.1157093279248693,5.647039990458819,-8.086737439613833,6.511169376072935e-7,2.3951424377536914e-4,6.349308561720841,Down,C3
CCL20,-2.2289690668762896,4.167175096589164,-8.086098569489023,6.517642683568564e-7,2.3951424377536914e-4,6.348359208162975,Down,C3
LAMC2,-3.7399778012621923,5.4817124328366935,-8.079383554502266,6.586092862750755e-7,2.3951424377536914e-4,6.3383772878354385,Down,C3
XM_006711316,-3.7399778012621923,5.4817124328366935,-8.079383554502266,6.586092862750755e-7,2.3951424377536914e-4,6.3383772878354385,Down,C3
PRSS22,-1.6004564203706018,6.733927416096716,-8.045259607038957,6.945809784210601e-7,2.451666565303277e-4,6.287553293307388,Down,C3
XM_006720915,-1.6004564203706018,6.733927416096716,-8.045259607038957,6.945809784210601e-7,2.451666565303277e-4,6.287553293307388,Down,C3
ITGB6,-3.402600808526735,8.948397501556043,-8.00209209385237,7.430687192255045e-7,2.4751311979565635e-4,6.223023574806497,Down,C3
FZD3,-1.4575402088393066,5.290641628087072,-7.946145579373098,8.112626479092908e-7,2.503545287537587e-4,6.138996948869588,Down,C3
ITGA6,-1.2469421040308646,7.918306350341588,-7.868742644688424,9.166440657108413e-7,2.6214651713870154e-4,6.022008235298529,Down,C3
PNLIPRP3,-3.429529782829505,4.590229390630714,-7.865545488901324,9.21294786120304e-7,2.6214651713870154e-4,6.017157529102414,Down,C3
EFHD2,-1.2708579742827038,8.089723921179223,-7.864823017250727,9.223491542737187e-7,2.6214651713870154e-4,6.01606119622655,Down,C3
LRAT,-2.4639862232434786,4.070517157706435,-7.843357157708119,9.54261671138745e-7,2.632665359847374e-4,5.983453108164241,Down,C3
XM_006714412,-2.4639862232434786,4.070517157706435,-7.843357157708119,9.54261671138745e-7,2.632665359847374e-4,5.983453108164241,Down,C3
MBOAT2,-2.287523572793538,7.329908314591403,-7.7037733376171555,1.192194002279016e-6,3.0768860691076283e-4,5.769797014058312,Down,C3
XR_241248,-2.287523572793538,7.329908314591403,-7.7037733376171555,1.192194002279016e-6,3.0768860691076283e-4,5.769797014058312,Down,C3
MISP,-1.194872943550915,7.190781756433439,-7.676669946443678,1.2452174443602293e-6,3.179543521227045e-4,5.727984133349008,Down,C3
PLA2G7,-1.9941355882878868,4.36380404509357,-7.668539418110963,1.2616019350237227e-6,3.187470488888357e-4,5.715420234275795,Down,C3
CBLC,-1.4660546118449638,7.284386438274357,-7.599749134791758,1.409625202379972e-6,3.4880231038684627e-4,5.608735553867133,Down,C3
OSBPL3,-1.1908642305244426,7.833007942874693,-7.5007746957763946,1.6553664826574778e-6,4.054296562933141e-4,5.454027600751033,Down,C3
KLK7,-3.144977545911172,5.767157049090927,-7.476768629386449,1.7214932976321094e-6,4.1319282129765895e-4,5.41628727945683,Down,C3
HNF4G,-1.5294438757403803,4.503056776489233,-7.4465125159152254,1.8088064921515543e-6,4.2985122202595646e-4,5.368600606932283,Down,C3
MARVELD2,-1.652530033359958,4.946323417827924,-7.405104518269374,1.935900889641602e-6,4.511212927492984e-4,5.303119196041331,Down,C3
