Symbol,C1_logFC,C1_adj.P.Val,C1_status,C2_logFC,C2_adj.P.Val,C2_status,C3_logFC,C3_adj.P.Val,C3_status,n_up,module,is_predicted
CDH11,4.045959001456542,2.5170890970056296e-5,Up,3.225286301982006,0.02198399396606587,Up,2.8048533073904114,0.006479156931132004,Up,3,CORE - all 3 contrasts,FALSE
KCNE4,3.380926900540893,1.0255228429929966e-5,Up,2.9500945654893096,0.006553911416497274,Up,3.1274444436515294,6.07669406136539e-4,Up,3,CORE - all 3 contrasts,FALSE
ANGPT1,3.141202906510921,2.8111626118723097e-5,Up,2.7125921135177493,0.014813590307042991,Up,3.184243528133031,6.643055622661617e-4,Up,3,CORE - all 3 contrasts,FALSE
PTGFR,2.9921299409011937,9.516053386858365e-8,Up,1.476639402614797,0.012834335852984,Up,2.4505362235397277,4.0292775299175994e-5,Up,3,CORE - all 3 contrasts,FALSE
FIBIN,2.887928978575144,1.3227683382293615e-5,Up,3.0666540973279677,0.0016682941514655659,Up,3.0098416424652914,3.2846274862152877e-4,Up,3,CORE - all 3 contrasts,FALSE
ZEB1,2.769638817142841,8.321975437780725e-7,Up,1.3347655920223822,0.044974734146575844,Up,2.253902222067758,2.4751311979565635e-4,Up,3,CORE - all 3 contrasts,FALSE
JCAD,2.560148047383408,6.92043252157635e-5,Up,2.015114611310034,0.04111482583065153,Up,2.783137372665994,8.246643467099824e-4,Up,3,CORE - all 3 contrasts,FALSE
PLPP3,2.462513596979001,2.807068235881248e-7,Up,1.422384382520562,0.008656957093277063,Up,2.980131901964592,2.862999176477103e-6,Up,3,CORE - all 3 contrasts,FALSE
ADARB1,2.3624325662447383,5.784215733716055e-5,Up,2.163100902269113,0.017028801210897192,Up,2.063540900888966,0.0029025330848618273,Up,3,CORE - all 3 contrasts,FALSE
FZD7,2.3144133233525226,1.9832335164417225e-5,Up,1.5449838792894353,0.04865974006611858,Up,2.0660906434836566,0.0011620460618051787,Up,3,CORE - all 3 contrasts,FALSE
NTRK3,2.2702683152539507,1.8670791833970445e-5,Up,1.6270892796668752,0.03243088929809399,Up,1.9512518043384155,0.0013864158046556511,Up,3,CORE - all 3 contrasts,FALSE
CYTL1,2.243763969874431,4.609082389706865e-4,Up,5.438966321468936,2.9335670163350523e-5,Up,3.22390099172869,6.106983244221264e-4,Up,3,CORE - all 3 contrasts,FALSE
EYA4,2.2011983334944265,2.9690431543495365e-6,Up,1.231690818959979,0.040124880119860123,Up,1.8657797577970903,4.822124850046166e-4,Up,3,CORE - all 3 contrasts,FALSE
