Symbol,C1_logFC,C1_adj.P.Val,C1_status,C2_logFC,C2_adj.P.Val,C2_status,C3_logFC,C3_adj.P.Val,C3_status,n_up,module
GNB4,4.209956341237319,5.827614894374564e-10,Up,0.5527714002044348,0.20759320821188212,NS,1.3056152197080184,5.522460875718671e-4,Up,2,SHARED C1 & C3
MMP2,4.493044831054223,3.9551166925377726e-9,Up,0.24240458860163017,0.7057656185877281,NS,2.1157199025863633,1.2625507422364446e-4,Up,2,SHARED C1 & C3
ADAMTS1,5.442053052257708,3.9551166925377726e-9,Up,0.5510745818078338,0.45081861788955585,NS,1.9135922366160445,9.0904919795143e-4,Up,2,SHARED C1 & C3
LAMA4,3.8820618815804684,3.9551166925377726e-9,Up,-0.2792495637130328,0.6162292864064425,NS,2.1626133365740365,4.0292775299175994e-5,Up,2,SHARED C1 & C3
PRKACB,3.3620844422577774,3.9551166925377726e-9,Up,0.2432500958328614,0.6152257228985858,NS,0.8464059354496278,0.008455453821794398,NS,1,C1 SPECIFIC
MFAP5,4.351242370199426,4.216660534077471e-9,Up,-0.6075636919087248,0.30925460808368993,NS,3.3236882167649138,2.862999176477103e-6,Up,2,SHARED C1 & C3
XR_242903,4.351242370199426,4.216660534077471e-9,Up,-0.6075636919087248,0.30925460808368993,NS,3.3236882167649138,2.862999176477103e-6,Up,2,SHARED C1 & C3
DOCK10,2.764581848522152,7.267644817775021e-9,Up,0.3908811600861686,0.3325664596585308,NS,1.9139578251792724,1.1694771096029835e-5,Up,2,SHARED C1 & C3
XM_006712616,2.764581848522152,7.267644817775021e-9,Up,0.3908811600861686,0.3325664596585308,NS,1.9139578251792724,1.1694771096029835e-5,Up,2,SHARED C1 & C3
XM_006712618,2.764581848522152,7.267644817775021e-9,Up,0.3908811600861686,0.3325664596585308,NS,1.9139578251792724,1.1694771096029835e-5,Up,2,SHARED C1 & C3
NID1,3.7241381953154518,1.2006375741657341e-8,Up,0.7317051086275086,0.19424633436903788,NS,2.5462210279276016,2.0084811876596462e-5,Up,2,SHARED C1 & C3
TGFBR2,3.273527172708773,1.2006375741657341e-8,Up,0.2445845483762028,0.6605761969722564,NS,0.46580987025908094,0.14236308073352283,NS,1,C1 SPECIFIC
ARMCX3,3.2620603112893756,1.2006375741657341e-8,Up,0.0522961371695807,0.9469198373706803,NS,0.49823146748619607,0.12043217165164771,NS,1,C1 SPECIFIC
POSTN,6.186973602000372,1.2006375741657341e-8,Up,0.8023552599851023,0.41378039991426036,NS,2.2883019895531485,0.0020580523819701273,Up,2,SHARED C1 & C3
