gsm,group,mean_r_within,min_r_within
GSM932370,Limbus,0.9771550538745759,0.9584752120786988
GSM932371,Limbus,0.9569864740058802,0.95493030915167
GSM932372,Limbus,0.9796102337917438,0.9575539007872719
GSM932373,Limbus,0.9779526994305431,0.95493030915167
GSM1361188,Cornea,0.9604839817049939,0.9470243455746257
GSM1361189,Cornea,0.968819157320781,0.9550919680271718
GSM1361190,Cornea,0.9661613053960036,0.950897202411066
GSM724096,Cornea,0.9657812538463612,0.9490516820843186
GSM724097,Cornea,0.959436031469327,0.9470243455746257
GSM724098,Cornea,0.9669203422411489,0.949634985354911
GSM724093,Conjunctiva,0.9828614890318388,0.9803121052979603
GSM724095,Conjunctiva,0.9889261544836362,0.9854108727657173
GSM932369,Conjunctiva,0.9863767707497577,0.9803121052979603
GSM1361185,Cultured,0.9926604279696998,0.9926284000769643
GSM1361186,Cultured,0.9928871636891113,0.9926924558624352
GSM1361187,Cultured,0.992855135796376,0.9926284000769643
