contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Down,GO_BP,GO:0008544,epidermis development,44/622,358/16355,6.1015375894641926e-12,2.776809756965154e-8,2.675042532644038e-8,44,MSX2/FA2H/KRT3/HES5/EVPL/FOXN1/FZD3/PKP1/PTCH1/COL17A1/KRT27/MYCL/CLDN1/DLX3/TMEM79/GRHL3/GJB5/WNT10A/NAB1/MYO6/TGFB2/CYSRT1/IRF6/ESRP1/ZBED2/SPINT1/SFN/ETV4/TRIM16/OVOL1/CLDN4/ST14/GRHL1/TP63/SCEL/SOSTDC1/PAX6/EMP1/EPHA2/KLF4/ZNF750/KLK5/CERS3/CALML5
C1,Down,GO_BP,GO:0043588,skin development,36/622,293/16355,5.397700007213116e-10,1.2282466366413447e-6,1.183232659475928e-6,36,MSX2/FA2H/KRT3/EVPL/FOXN1/FZD3/PKP1/GJB3/KRT27/CLDN1/DLX3/TMEM79/GRHL3/WNT10A/RYR1/TGFB2/CYSRT1/RIPK4/IRF6/ZBED2/SFN/ETV4/TRIM16/OVOL1/CLDN4/ST14/GRHL1/TP63/SCEL/SOSTDC1/PAX6/EPHA2/KLF4/ZNF750/KLK5/CERS3
C1,Down,GO_BP,GO:0061436,establishment of skin barrier,11/622,32/16355,1.3730369448306826e-8,2.0828970453081455e-5,2.0065610088490505e-5,11,FA2H/CLDN1/TMEM79/GRHL3/CYSRT1/SFN/CLDN4/GRHL1/TP63/KLF4/ZNF750
C1,Down,GO_BP,GO:0009913,epidermal cell differentiation,28/622,219/16355,1.9178416125185896e-8,2.1820242946430254e-5,2.1020553463526124e-5,28,MSX2/FA2H/KRT3/HES5/EVPL/FOXN1/PKP1/PTCH1/MYCL/DLX3/TMEM79/MYO6/IRF6/ESRP1/ZBED2/SFN/ETV4/TRIM16/OVOL1/ST14/GRHL1/TP63/SCEL/PAX6/EPHA2/KLF4/KLK5/CERS3
C1,Down,GO_BP,GO:0045682,regulation of epidermis development,14/622,64/16355,9.44109758806732e-8,8.593287024658876e-5,8.278351885115872e-5,14,MSX2/HES5/PKP1/PTCH1/MYCL/TMEM79/NAB1/ESRP1/ZBED2/SFN/ETV4/TRIM16/GRHL1/TP63
C1,Down,GO_BP,GO:0098773,skin epidermis development,19/622,128/16355,3.6522526396512365e-7,2.770233627175463e-4,2.6687074112539304e-4,19,MSX2/FA2H/FOXN1/FZD3/KRT27/CLDN1/DLX3/TMEM79/GRHL3/WNT10A/TGFB2/CYSRT1/SFN/CLDN4/GRHL1/TP63/SOSTDC1/KLF4/ZNF750
C1,Down,GO_BP,GO:0045604,regulation of epidermal cell differentiation,12/622,58/16355,1.4778619295187233e-6,9.608213773199585e-4,9.256082611196215e-4,12,MSX2/HES5/PKP1/PTCH1/MYCL/ESRP1/ZBED2/SFN/ETV4/TRIM16/GRHL1/TP63
C1,Down,GO_BP,GO:0030856,regulation of epithelial cell differentiation,20/622,158/16355,2.3990698028136454e-6,0.0013647708340756126,0.0013147533853577413,20,MSX2/HES5/FOXN1/PKP1/PTCH1/TMEM100/MYCL/F11R/ESRP1/ZBED2/SFN/ETV4/TRIM16/XDH/GRHL1/TP63/BMP7/PAX6/BTG1/CD24
C1,Down,GO_BP,GO:0030216,keratinocyte differentiation,19/622,151/16355,4.667648915681194e-6,0.0023602744683627903,0.002273772834363997,19,MSX2/KRT3/EVPL/FOXN1/PKP1/TMEM79/IRF6/ZBED2/SFN/ETV4/TRIM16/ST14/GRHL1/TP63/SCEL/PAX6/EPHA2/KLK5/CERS3
C1,Down,GO_BP,GO:0030858,positive regulation of epithelial cell differentiation,12/622,65/16355,5.233779176020937e-6,0.0023818929030071287,0.002294598975592337,12,FOXN1/PKP1/PTCH1/TMEM100/ZBED2/SFN/ETV4/TRIM16/BMP7/PAX6/BTG1/CD24
C1,Down,GO_BP,GO:0002009,morphogenesis of an epithelium,39/622,490/16355,1.1461903508724813e-5,0.004742102078927875,0.004568308910415202,39,DLG3/MSX2/ARHGAP12/HES5/WNT7B/CAMSAP3/MICAL2/FOXN1/FZD3/PTCH1/AREG/SYNE4/ESRP2/KRT27/TRIM71/SDC4/WNT4/SERPINB5/DLX3/TMEM79/GRHL3/PALS1/WNT10A/SPINT2/COBL/TGFB2/RIPK4/WNT7A/PERP/CELSR1/SPINT1/ST14/TP63/SOSTDC1/BMP7/HBEGF/EPHA2/KLF4/TACSTD2
C1,Down,GO_BP,GO:0022612,gland morphogenesis,16/622,124/16355,1.8943786297624272e-5,0.007184430953374005,0.006921128941193431,16,MSX2/PTCH1/AREG/ESRP2/TGFA/WNT4/FBXW7/SERPINB5/TNFAIP3/TGFB2/PERP/TP63/SOSTDC1/BMP7/PAX6/EPHA2
C1,Down,GO_BP,GO:0016331,morphogenesis of embryonic epithelium,17/622,142/16355,2.8276440382821327e-5,0.0098989292447861435,0.009536143659469703,17,HES5/WNT7B/FZD3/PTCH1/TRIM71/SDC4/WNT4/GRHL3/PALS1/SPINT2/COBL/TGFB2/CELSR1/SPINT1/ST14/TP63/BMP7
C1,Down,GO_BP,GO:0048732,gland development,35/622,443/16355,3.74772925629124e-5,0.012182797032415309,0.011736310039438359,35,MSX2/FA2H/WNT3/WNT7B/FOXN1/RCBTB2/PTCH1/AREG/ESRP2/TGFA/WNT4/FBXW7/CLDN1/SERPINB5/CEBPG/TNFAIP3/WNT10A/EPHB3/E2F8/COBL/TGFB2/SRD5A1/NRG1/CADM1/BCL2L11/IRF6/PERP/E2F7/XDH/TP63/SOSTDC1/BMP7/PAX6/PCK1/EPHA2
C1,Down,GO_BP,GO:0048730,epidermis morphogenesis,8/622,36/16355,4.925431185359183e-5,0.014943758216379761,0.014396084832997192,8,KRT27/DLX3/TMEM79/WNT10A/TGFB2/TP63/SOSTDC1/KLF4
C1,Down,GO_BP,GO:0045216,cell-cell junction organization,21/622,212/16355,6.08942239748688e-5,0.017320600831851746,0.016685818608903197,21,MARVELD2/CAMSAP3/POF1B/PKP1/F11R/CLDN1/CNTNAP2/AFDN/TGFB2/CLDN7/GJB2/PERP/DSG1/GJB6/OCLN/CLDN4/GRHL1/PARD6B/CXADR/EPHA2/NLGN4X
C1,Down,GO_BP,GO:0001838,embryonic epithelial tube formation,14/622,114/16355,1.0724696408540058e-4,0.02720152253811382,0.026204614687632344,14,HES5/FZD3/PTCH1/TRIM71/SDC4/WNT4/GRHL3/SPINT2/COBL/TGFB2/CELSR1/SPINT1/ST14/BMP7
C1,Down,GO_BP,GO:0014020,primary neural tube formation,12/622,87/16355,1.0758677338739809e-4,0.02720152253811382,0.026204614687632344,12,FZD3/PTCH1/TRIM71/SDC4/GRHL3/SPINT2/COBL/TGFB2/CELSR1/SPINT1/ST14/BMP7
C1,Down,GO_BP,GO:0060713,labyrinthine layer morphogenesis,6/622,22/16355,1.3079309705520765e-4,0.029991710519704437,0.028892545146715926,6,WNT7B/GJB5/SPINT2/SPINT1/ST14/BMP7
C1,Down,GO_BP,GO:0045684,positive regulation of epidermis development,7/622,31/16355,1.3180272695980855e-4,0.029991710519704437,0.028892545146715926,7,PKP1/PTCH1/TMEM79/ZBED2/SFN/ETV4/TRIM16
C1,Down,GO_BP,GO:0031069,hair follicle morphogenesis,7/622,32/16355,1.632242427119792e-4,0.033765160390100794,0.03252770195671739,7,KRT27/DLX3/TMEM79/WNT10A/TGFB2/TP63/SOSTDC1
C1,Down,GO_BP,GO:0060603,mammary gland duct morphogenesis,7/622,32/16355,1.632242427119792e-4,0.033765160390100794,0.03252770195671739,7,MSX2/PTCH1/AREG/WNT4/PERP/SOSTDC1/EPHA2
C1,Down,GO_BP,GO:0051056,regulation of small GTPase mediated signal transduction,25/622,298/16355,1.9010207904513807e-4,0.0363819854893389,0.035048623104950105,25,ARHGAP12/RHOU/RHOD/RASGRF1/ARHGEF4/RABL3/SEMA4D/DOCK3/ARHGEF3/ARHGAP27/F11R/RASAL1/RTN4R/TIAM1/EPS8L1/TGFB2/ARHGEF28/SSX2IP/SRGAP2/ARHGAP44/PLEKHG6/RALGPS1/DENND4A/CHN2/PLEKHG1
C1,Down,GO_BP,GO:0071322,cellular response to carbohydrate stimulus,16/622,150/16355,1.9186281075458882e-4,0.0363819854893389,0.035048623104950105,16,SLC12A6/MAP2K4/C2CD2L/CLEC7A/MAPK13/FKBP1B/CCDC186/CFTR/TIAM1/CLTRN/VSNL1/GJB6/NR1D1/PAX6/PCK1/SLC2A5
C1,Down,GO_BP,GO:0001841,neural tube formation,12/622,93/16355,2.0542866436507355e-4,0.03739623406101799,0.03602570050865395,12,FZD3/PTCH1/TRIM71/SDC4/GRHL3/SPINT2/COBL/TGFB2/CELSR1/SPINT1/ST14/BMP7
C1,Down,GO_BP,GO:0060706,cell differentiation involved in embryonic placenta development,6/622,24/16355,2.2111185584120576e-4,0.03870307907435875,0.03728465099508591,6,SOX15/GJB5/SPINT2/E2F8/E2F7/ST14
C1,Down,GO_BP,GO:0061180,mammary gland epithelium development,10/622,69/16355,2.643627544034394e-4,0.043138975270855334,0.04155797615402341,10,MSX2/WNT3/WNT7B/PTCH1/AREG/WNT4/IRF6/PERP/SOSTDC1/EPHA2
