contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Up,GO_BP,GO:0030198,extracellular matrix organization,97/1323,326/16355,5.441414862655284e-31,1.295007516898681e-27,9.51606174730602e-28,97,MMP2/ADAMTS1/NID1/POSTN/CTSK/COL3A1/COL4A1/COL14A1/LAMA2/PDGFRA/FBLN1/DDR2/COL4A2/ADAMTS5/ADAMTSL1/COL1A1/AEBP1/CCDC80/FBLN5/SH3PXD2B/ENG/RECK/CSGALNACT1/TNXB/ANTXR1/GPM6B/DPT/HMCN1/MFAP4/COL6A1/ITGA8/MMP1/ADAMTS2/THSD4/NID2/BMP2/AXIN2/COL1A2/ABL1/CRISPLD2/PPARG/SMOC2/FMOD/MMP27/ABI3BP/CYP1B1/MMP10/SLC2A10/PTX3/COL15A1/COL16A1/TNFRSF1B/NTN4/SLC39A8/FOXF2/LAMC1/GAS6/ECM2/PRICKLE1/EFEMP2/MATN3/COL24A1/LOXL2/MELTF/TMEM38B/TIE1/COL5A1/APBB2/PXDN/IL6/NPNT/MYH11/COL13A1/LOX/OLFML2A/LCP1/MMP3/DPP4/RGCC/FKBP10/TGFBR3/CCN1/PDPN/SOX9/LUM/TGFBR1/SERPINH1/PLOD3/P4HA1/COL11A1/TNFRSF11B/HAS2/COL8A2/FAP/SFRP2/COL8A1/COMP
C1,Up,GO_BP,GO:0043062,extracellular structure organization,97/1323,327/16355,7.152103370206264e-31,1.295007516898681e-27,9.51606174730602e-28,97,MMP2/ADAMTS1/NID1/POSTN/CTSK/COL3A1/COL4A1/COL14A1/LAMA2/PDGFRA/FBLN1/DDR2/COL4A2/ADAMTS5/ADAMTSL1/COL1A1/AEBP1/CCDC80/FBLN5/SH3PXD2B/ENG/RECK/CSGALNACT1/TNXB/ANTXR1/GPM6B/DPT/HMCN1/MFAP4/COL6A1/ITGA8/MMP1/ADAMTS2/THSD4/NID2/BMP2/AXIN2/COL1A2/ABL1/CRISPLD2/PPARG/SMOC2/FMOD/MMP27/ABI3BP/CYP1B1/MMP10/SLC2A10/PTX3/COL15A1/COL16A1/TNFRSF1B/NTN4/SLC39A8/FOXF2/LAMC1/GAS6/ECM2/PRICKLE1/EFEMP2/MATN3/COL24A1/LOXL2/MELTF/TMEM38B/TIE1/COL5A1/APBB2/PXDN/IL6/NPNT/MYH11/COL13A1/LOX/OLFML2A/LCP1/MMP3/DPP4/RGCC/FKBP10/TGFBR3/CCN1/PDPN/SOX9/LUM/TGFBR1/SERPINH1/PLOD3/P4HA1/COL11A1/TNFRSF11B/HAS2/COL8A2/FAP/SFRP2/COL8A1/COMP
C1,Up,GO_BP,GO:0045229,external encapsulating structure organization,97/1323,327/16355,7.152103370206264e-31,1.295007516898681e-27,9.51606174730602e-28,97,MMP2/ADAMTS1/NID1/POSTN/CTSK/COL3A1/COL4A1/COL14A1/LAMA2/PDGFRA/FBLN1/DDR2/COL4A2/ADAMTS5/ADAMTSL1/COL1A1/AEBP1/CCDC80/FBLN5/SH3PXD2B/ENG/RECK/CSGALNACT1/TNXB/ANTXR1/GPM6B/DPT/HMCN1/MFAP4/COL6A1/ITGA8/MMP1/ADAMTS2/THSD4/NID2/BMP2/AXIN2/COL1A2/ABL1/CRISPLD2/PPARG/SMOC2/FMOD/MMP27/ABI3BP/CYP1B1/MMP10/SLC2A10/PTX3/COL15A1/COL16A1/TNFRSF1B/NTN4/SLC39A8/FOXF2/LAMC1/GAS6/ECM2/PRICKLE1/EFEMP2/MATN3/COL24A1/LOXL2/MELTF/TMEM38B/TIE1/COL5A1/APBB2/PXDN/IL6/NPNT/MYH11/COL13A1/LOX/OLFML2A/LCP1/MMP3/DPP4/RGCC/FKBP10/TGFBR3/CCN1/PDPN/SOX9/LUM/TGFBR1/SERPINH1/PLOD3/P4HA1/COL11A1/TNFRSF11B/HAS2/COL8A2/FAP/SFRP2/COL8A1/COMP
C1,Up,GO_BP,GO:0031589,cell-substrate adhesion,95/1323,352/16355,9.251110481322425e-27,1.2563008033635853e-23,9.231634459256483e-24,95,NID1/POSTN/HACD1/COL3A1/FERMT2/FBLN1/DAB2/COL1A1/SGCE/CCDC80/FBLN5/PTPRJ/DLC1/LIMCH1/AXL/TNXB/CSF1/JAM3/ANTXR1/VCAM1/GBP1/SVEP1/PTPRK/GPM6B/FZD7/RAC2/CDH11/FZD4/ANGPT1/ITGA8/ITGA1/PEAK1/FBLN2/NID2/TEK/ITGA4/ABL1/CASK/ACVRL1/L1CAM/PREX1/NRP1/BCL2/ABI3BP/PIK3R1/LIMS2/SNED1/SMAD6/COL16A1/NTN4/FN1/EPHA3/LPXN/ITGA10/ITGA7/CCN2/LAMC1/ITGAM/GAS6/PARVA/ECM2/RRAS/ITGB2/EFEMP2/ARHGAP6/GCNT2/MELTF/APOD/FAM107A/CORO1A/NPNT/ANGPT2/MDK/CCL21/COL13A1/ACTN1/POPDC1/FLNA/LYVE1/TNN/CCN1/PDPN/ITGA9/VWF/WDPCP/EPDR1/ITGA5/SERPINE1/MUC4/CEACAM6/ITGBL1/HAS2/COL8A1/THBS1/THY1
C1,Up,GO_BP,GO:0006935,chemotaxis,101/1323,455/16355,2.4525901195645797e-21,2.6644939058949597e-18,1.957941417555555e-18,101,MMP2/CXCL12/PRKD1/PDGFRA/DOCK4/VEGFC/SLIT3/ENG/PDGFRB/PTPRJ/FLT1/PDGFD/BMP4/CSF1/JAM3/VCAM1/ADGRA2/NTRK3/FLRT3/RAC2/ANGPT1/ENPP2/ITGA1/ACKR4/AGTR1/CCL14/CXCL1/LPAR1/SMOC2/L1CAM/PREX1/ANO6/NRP1/CMTM3/DOCK2/CCL23/LYN/PGF/RARRES2/LSP1/TNFAIP6/THBS4/SEMA6A/GAS6/PARVA/IL16/CMKLR1/ITGB2/SEMA3A/PTN/SEMA3G/S100A9/AIF1/C3AR1/FGFR1/FCER1G/STK39/IL6/CORO1A/ANGPT2/MDK/CCL21/RNASE2/FGF2/ABCC1/S100A8/LOX/CYSLTR1/CCL19/CCL18/F3/CXCL2/CCL5/DPP4/CCN1/CXCR4/ITGA9/GPR183/SAA1/CCL2/CXCL8/ALOX5/EFNB2/FGF18/CXCL6/S1PR1/ACKR3/CH25H/PDE4B/CCR1/SERPINE1/SCG2/PLD1/FPR3/THBS1/GPNMB/WNT5A/CCL3/CCL3L1/CCL3L3/P2RY12
C1,Up,GO_BP,GO:0042330,taxis,101/1323,457/16355,3.454404598109831e-21,3.127387629488767e-18,2.2980881115846456e-18,101,MMP2/CXCL12/PRKD1/PDGFRA/DOCK4/VEGFC/SLIT3/ENG/PDGFRB/PTPRJ/FLT1/PDGFD/BMP4/CSF1/JAM3/VCAM1/ADGRA2/NTRK3/FLRT3/RAC2/ANGPT1/ENPP2/ITGA1/ACKR4/AGTR1/CCL14/CXCL1/LPAR1/SMOC2/L1CAM/PREX1/ANO6/NRP1/CMTM3/DOCK2/CCL23/LYN/PGF/RARRES2/LSP1/TNFAIP6/THBS4/SEMA6A/GAS6/PARVA/IL16/CMKLR1/ITGB2/SEMA3A/PTN/SEMA3G/S100A9/AIF1/C3AR1/FGFR1/FCER1G/STK39/IL6/CORO1A/ANGPT2/MDK/CCL21/RNASE2/FGF2/ABCC1/S100A8/LOX/CYSLTR1/CCL19/CCL18/F3/CXCL2/CCL5/DPP4/CCN1/CXCR4/ITGA9/GPR183/SAA1/CCL2/CXCL8/ALOX5/EFNB2/FGF18/CXCL6/S1PR1/ACKR3/CH25H/PDE4B/CCR1/SERPINE1/SCG2/PLD1/FPR3/THBS1/GPNMB/WNT5A/CCL3/CCL3L1/CCL3L3/P2RY12
C1,Up,GO_BP,GO:0050900,leukocyte migration,89/1323,396/16355,2.7285609571883294e-19,2.1173633027781436e-16,1.5558952104749092e-16,89,MMP2/CXCL12/JAM2/EPS8/IL1R1/FYN/VEGFC/CD200/IL33/PTPRJ/FLT1/PDGFD/CSF1/JAM3/VCAM1/CD47/ICAM1/RAC2/ITGA1/CCL14/PECAM1/ITGA4/CXCL1/ABL1/PREX1/ANO6/MSN/PIK3R1/CD69/SIRPA/CCL23/SELE/LYN/PGF/ITGA7/RARRES2/TNFAIP6/THBS4/GAS6/IL16/CMKLR1/ITGB2/ADA/PTN/S100A9/AIF1/C3AR1/TACR1/APOD/FCER1G/PLVAP/PTGER4/STK39/IL6/GDF15/CORO1A/MDK/CCL21/IL27RA/S100A8/CCL19/CCL18/CXCL2/CCL5/DPP4/CD99L2/LYVE1/CXCR4/ITGA9/GPR183/SAA1/CCL2/CXCL8/ALOX5/CXCL6/S1PR1/CH25H/PDE4B/CCR1/SERPINE1/SCG2/THBS1/THY1/WNT5A/CCL3/CCL3L1/CCL3L3/P2RY12/GATA3
C1,Up,GO_BP,GO:0060326,cell chemotaxis,77/1323,314/16355,3.587526535352015e-19,2.435930517504018e-16,1.7899869239545844e-16,77,MMP2/CXCL12/PRKD1/PDGFRA/DOCK4/VEGFC/ENG/PDGFRB/PTPRJ/FLT1/PDGFD/CSF1/JAM3/VCAM1/RAC2/ITGA1/ACKR4/AGTR1/CCL14/CXCL1/LPAR1/SMOC2/PREX1/ANO6/NRP1/CCL23/LYN/PGF/RARRES2/TNFAIP6/THBS4/GAS6/PARVA/IL16/CMKLR1/ITGB2/PTN/S100A9/AIF1/C3AR1/FGFR1/FCER1G/STK39/IL6/CORO1A/MDK/CCL21/FGF2/ABCC1/S100A8/LOX/CCL19/CCL18/CXCL2/CCL5/DPP4/CXCR4/ITGA9/GPR183/SAA1/CCL2/CXCL8/ALOX5/FGF18/CXCL6/S1PR1/ACKR3/CH25H/PDE4B/CCR1/SERPINE1/SCG2/THBS1/WNT5A/CCL3/CCL3L1/CCL3L3
C1,Up,GO_BP,GO:1901342,regulation of vasculature development,74/1323,307/16355,5.0983726976330754e-18,3.0771511659492072e-15,2.261173013967792e-15,74,ADAMTS1/TGFBR2/CXCL12/ETS1/FYN/SHC1/PRKD1/C3/COL4A2/PLXND1/RHOJ/ENG/CCBE1/RECK/FLT1/AKT3/ADGRA2/THBS2/QKI/TWIST1/GATA2/HHEX/PTGIS/HSPG2/JCAD/TEK/ABL1/PPARG/SERPINF1/ANXA3/SMOC2/ACVRL1/NRP1/CYP1B1/CLDN5/STAB1/THBS4/SEMA6A/RRAS/KLF2/TIE1/C3AR1/PTPRM/PPP1R16B/IL6/ANGPT2/MDK/FGF2/CYSLTR1/F3/RGCC/ISM1/AQP1/EMILIN2/TNN/CXCR4/CYBB/CXCL8/ALOX5/FGF18/DDAH1/TGFBR1/PRKCA/ITGA5/CDH5/SERPINE1/CHI3L1/LRG1/DCN/BMPER/SFRP2/THBS1/GPNMB/WNT5A
C1,Up,GO_BP,GO:2000146,negative regulation of cell motility,76/1323,323/16355,7.849003638557368e-18,4.263578776464363e-15,3.1329917681483728e-15,76,CXCL12/IFITM1/COL3A1/FBLN1/ZEB2/PTPRG/MIR224/ENG/CD200/IL33/RECK/PTPRJ/DLC1/MEF2C/BMP4/IGFBP5/LIMCH1/PTPRK/CLIC4/PODN/IGFBP3/CDH11/MEOX2/ADARB1/MITF/PPARG/SERPINF1/ACVRL1/BCL2/CYP1B1/CD69/MMRN2/CLDN5/TIMP1/DPYSL3/TNFAIP6/FOXO3/RRAS/STARD13/ADA/DNAI3/TIE1/AIF1/CYGB/PTPRM/PRKG1/APOD/PTGER4/GDF15/TPM1/MAGI2/ANGPT2/CCL21/FGF2/IL27RA/CITED2/RGN/DPP4/RGCC/EMILIN2/TNN/GNA12/TGFBR3/NAV3/CCL2/TGFBR1/ADORA3/TMIGD3/MYOCD/SERPINE1/LDLRAD4/DCN/SFRP2/THBS1/THY1/GATA3
