contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Up,KEGG,hsa04518,Integrin signaling,55/738,153/8021,4.5510362788451655e-20,1.4381274641150722e-17,1.0635053198985544e-17,55,LAMA4/PDGFC/FERMT2/COL4A1/LAMA2/PDGFRA/C3/COL4A2/CCND2/VEGFC/COL1A1/FBN1/TNC/PDGFRB/FLT1/PDGFD/AKT3/TNXB/VCAM1/THBS2/PIK3R3/ICAM1/RAC2/COL6A1/ITGA8/ITGA1/COL6A3/FRAS1/COL1A2/ITGA4/PIK3R1/LIMS2/FLNB/FN1/ITGA10/PGF/ITGA7/COL6A2/THBS4/LAMC1/ITGAM/PARVA/ITGB2/NPNT/ICAM2/LAMC3/ACTN1/FLNA/TNN/ITGA9/VWF/IGF1/ITGA5/THBS1/COMP
C1,Up,KEGG,hsa04820,Cytoskeleton in muscle cells,63/738,232/8021,7.606156253519742e-16,1.2017726880561193e-13,8.887193096217805e-14,63,NID1/COL3A1/VCAN/COL4A1/LAMA2/FBLN1/COL4A2/COL1A1/SGCE/FBN1/MYL9/THBS2/SPTBN1/FMNL2/TPM2/COL6A1/SYNE3/ITGA8/FHL1/ITGA1/COL6A3/HSPG2/SGCD/FHL2/FBLN2/NID2/COL1A2/ITGA4/SYNPO2/ANK2/VIM/LMOD1/PDLIM3/FN1/SNTB1/ITGA10/SDC3/ITGA7/FMNL3/COL6A2/THBS4/SNTB2/TRIM63/COL24A1/COL5A1/ATP1A2/SDC2/TPM1/MYH11/PDLIM4/LDB3/MYH10/DAAM2/ITGA9/DTNA/ITGA5/COL11A1/SGCB/DCN/ACTG2/BGN/THBS1/COMP
C1,Up,KEGG,hsa04510,Focal adhesion,52/738,202/8021,2.805520326210682e-12,2.7622270385629274e-10,2.0426862177247498e-10,52,LAMA4/PDGFC/COL4A1/FYN/SHC1/LAMA2/PDGFRA/COL4A2/CCND2/VEGFC/COL1A1/TNC/PDGFRB/FLT1/PDGFD/AKT3/TNXB/MYL9/THBS2/PIK3R3/MYLK/RAC2/COL6A1/ITGA8/ITGA1/COL6A3/SHC3/COL1A2/ITGA4/BCL2/PIK3R1/FLNB/FN1/ITGA10/PGF/ITGA7/COL6A2/THBS4/PAK3/LAMC1/PARVA/LAMC3/ACTN1/FLNA/TNN/ITGA9/VWF/IGF1/PRKCA/ITGA5/THBS1/COMP
C1,Up,KEGG,hsa04512,ECM-receptor interaction,32/738,89/8021,3.496489922231554e-12,2.7622270385629274e-10,2.0426862177247498e-10,32,LAMA4/COL4A1/LAMA2/COL4A2/COL1A1/TNC/TNXB/CD47/THBS2/COL6A1/ITGA8/ITGA1/COL6A3/HSPG2/FRAS1/COL1A2/ITGA4/FN1/ITGA10/ITGA7/COL6A2/THBS4/LAMC1/SV2A/NPNT/LAMC3/TNN/ITGA9/VWF/ITGA5/THBS1/COMP
C1,Up,KEGG,hsa04610,Complement and coagulation cascades,31/738,88/8021,1.4197840509620964e-11,8.97303520208045e-10,6.63562230133864e-10,31,SERPING1/CFH/CFHR1/C1S/C1R/C3/TFPI/F2RL2/CD59/CFHR2/F2R/A2M/MASP1/C7/PROS1/ITGAM/ITGB2/C3AR1/PROCR/C1QB/C1QC/C1QA/F3/VSIG4/CFD/CFB/SERPINE2/VWF/F13A1/SERPINE1/SERPINA1
C1,Up,KEGG,hsa04151,PI3K-Akt signaling pathway,67/738,358/8021,8.06922401745617e-9,4.24979131586025e-7,3.1427504067987193e-7,67,GNB4/LAMA4/PDGFC/COL4A1/LAMA2/PDGFRA/COL4A2/CCND2/VEGFC/COL1A1/TLR4/DDIT4/TNC/PDGFRB/FLT1/PDGFD/AKT3/TNXB/CSF1/OSMR/THBS2/PIK3R3/GNG11/ANGPT1/F2R/COL6A1/ITGA8/ITGA1/COL6A3/IL7/TEK/GNG2/COL1A2/ITGA4/LPAR1/CREB5/IRS1/BCL2/PIK3R1/PIK3AP1/FN1/ITGA10/IL7R/PGF/ITGA7/COL6A2/THBS4/FOXO3/LAMC1/IL4R/FGFR1/IL6/MAGI2/ANGPT2/FGF2/LAMC3/TNN/ITGA9/VWF/IGF1/FGF18/PRKCA/ITGA5/IGF2/THBS1/FGF5/COMP
C1,Up,KEGG,hsa05323,Rheumatoid arthritis,27/738,93/8021,3.590448913865645e-8,1.6208312239736342e-6,1.1986160283882303e-6,27,CTSK/CXCL12/TLR4/FLT1/CSF1/ICAM1/ANGPT1/MMP1/TEK/CXCL1/TGFB3/IL15/ITGB2/IL6/CXCL2/CCL5/CD86/MMP3/CCL2/CXCL8/HLA-DPB1/CXCL6/HLA-DMA/HLA-DRB3/CCL3/CCL3L1/CCL3L3
C1,Up,KEGG,hsa04933,AGE-RAGE signaling pathway in diabetic complications,28/738,100/8021,4.770270639101565e-8,1.884256902445118e-6,1.3934211603691412e-6,28,MMP2/TGFBR2/COL3A1/COL4A1/COL4A2/VEGFC/COL1A1/AKT3/VCAM1/PIK3R3/ICAM1/AGTR1/COL1A2/BCL2/PIK3R1/FN1/SELE/TGFB3/IL6/F3/NFATC1/CYBB/CCL2/CXCL8/TGFBR1/PRKCA/NOX4/SERPINE1
C1,Up,KEGG,hsa04514,Cell adhesion molecule (CAM) interaction,36/738,155/8021,1.2216640712700635e-7,4.2893982946815565e-6,3.172040044701217e-6,36,JAM2/VCAN/NEGR1/JAM3/VCAM1/ICAM1/ITGA8/PECAM1/ITGA4/L1CAM/PVR/NRCAM/CLDN5/SELE/CLDN11/SDC3/ITGAM/MPZ/ITGB2/PTPRM/SDC2/PTPRC/ICAM2/CD86/CD99L2/ITGA9/NECTIN3/ALCAM/HLA-DPB1/CDH5/PDCD1LG2/HLA-DMA/NLGN1/HLA-DRB3/CNTN1/NFASC
C1,Up,KEGG,hsa04062,Chemokine signaling pathway,41/738,190/8021,1.443103315582396e-7,4.5602064772403715e-6,3.3723045900978092e-6,41,GNB4/PRKACB/CXCL12/SHC1/ADCY3/STAT2/AKT3/PIK3R3/GNG11/ADCY9/RAC2/GRK5/ADCY7/SHC3/CCL14/GNG2/CXCL1/PREX1/DOCK2/GRK3/PIK3R1/CCL23/LYN/ADCY4/FOXO3/ELMO1/CCL21/FGR/CCL19/CCL18/CXCL2/CCL5/ADCY2/CXCR4/CCL2/CXCL8/CXCL6/CCR1/CCL3/CCL3L1/CCL3L3
