contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C3,Down,KEGG,hsa04382,Cornified envelope formation,26/234,188/8021,2.6256005996098e-11,7.141633630938656e-9,6.025062428578279e-9,26,PKP1/COL17A1/CLDN1/PPP2R2C/LAMB3/ITGA6/CLDN7/DSG2/KRT7/OCLN/S100A2/ST14/ITGB4/PRSS8/KRT23/S100A16/EPHX3/KRT5/KRT80/KRT16/LAMC2/S100A14/ELOVL4/KRT14/LAMA3/KRT17
C3,Down,KEGG,hsa05164,Influenza A,17/234,169/8021,7.939448817380304e-6,0.0010797650391637214,9.109472853625824e-4,17,OAS2/TNFRSF10A/TMPRSS4/OAS1/CDK6/BAK1/BID/TNFRSF10B/IL1B/TMPRSS2/PRSS2/MAPK1/FDPS/IL1A/IFIH1/PRSS3/CXCL10
C3,Down,KEGG,hsa04512,ECM-receptor interaction,11/234,89/8021,5.058413480377176e-5,0.004586294888875306,0.003869242592007805,11,LAMB3/ITGA6/ITGB4/ITGA5/AGRN/ITGA3/ITGB8/ITGA2/LAMC2/LAMA3/ITGB6
C3,Down,KEGG,hsa04518,Integrin signaling,14/234,153/8021,1.4309280727573724e-4,0.009730310894750132,0.008209008417397558,14,C3/LAMB3/ITGA6/PTK2/ITGB4/ITGA5/ITGA3/MET/ITGB8/ITGA2/LAMC2/FERMT1/LAMA3/ITGB6
C3,Down,KEGG,hsa05130,Pathogenic Escherichia coli infection,15/234,193/8021,5.002798126611132e-4,0.027215221808764557,0.02296021034949951,15,MAPK13/MYH14/CLDN1/BAIAP2L1/MYO5B/CLDN7/TNFRSF10A/OCLN/MYO1E/BAK1/MYO5A/TNFRSF10B/IL1B/ARPC1A/MAPK1
C3,Down,KEGG,hsa04510,Focal adhesion,15/234,202/8021,8.055850216086171e-4,0.03320187221310255,0.028010867424366703,15,LAMB3/ITGA6/PTK2/ITGB4/ITGA5/ITGA3/MET/VAV2/CAV2/ITGB8/MAPK1/ITGA2/LAMC2/LAMA3/ITGB6
C3,Down,KEGG,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,9/234,86/8021,8.544599466607275e-4,0.03320187221310255,0.028010867424366703,9,DSC2/ITGA6/DSG2/ITGB4/ITGA5/ITGA3/ITGB8/ITGA2/ITGB6
C3,Down,KEGG,hsa04530,Tight junction,13/234,166/8021,0.0010980724839277285,0.03431710384124065,0.028951736212811385,13,MARVELD2/MYH14/F11R/CLDN1/PRKCZ/PPP2R2C/CLDN7/NEDD4L/LLGL2/TJP2/OCLN/CGN/ARPC1A
C3,Down,KEGG,hsa04519,Cadherin signaling,23/234,397/8021,0.001246041985087306,0.03431710384124065,0.028951736212811385,23,DSC2/FZD3/PKP1/MAPK13/WNT7A/DSG2/CELSR1/KRT7/MYO1E/PTK2/KRT23/WWC1/KRT5/MET/KRT80/VAV2/KRT16/ARPC1A/MAPK1/KRT14/KRT17/TMC7/CDH3
C3,Down,KEGG,hsa05165,Human papillomavirus infection,20/234,327/8021,0.0013584490225269617,0.03431710384124065,0.028951736212811385,20,FZD3/PRKCZ/PPP2R2C/LAMB3/ITGA6/WNT7A/CDK6/LLGL2/BAK1/PTK2/ITGB4/ITGA5/ITGA3/CCNA1/ITGB8/MAPK1/ITGA2/LAMC2/LAMA3/ITGB6
C3,Down,KEGG,hsa05222,Small cell lung cancer,9/234,92/8021,0.0013878240524031144,0.03431710384124065,0.028951736212811385,9,LAMB3/ITGA6/CDK6/BAK1/PTK2/ITGA3/ITGA2/LAMC2/LAMA3
C3,Down,KEGG,hsa05133,Pertussis,8/234,77/8021,0.001728067798433442,0.03916953676449136,0.03304550702267459,8,C3/MAPK13/ITGA5/CALML5/IL1B/MAPK1/CXCL5/IL1A
C3,Down,KEGG,hsa00100,Steroid biosynthesis,4/234,20/8021,0.0023666769017349973,0.04951816286707071,0.04177615907516028,4,DHCR7/EBP/MSMO1/CYP51A1
