contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C3,Limbus vs cultured limbal epithelial cells,HMGA2,-5.431450137209076,5.589793567327901e-8,68,9.276871549136001e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ARID5B,5.4079265296045875,6.375856734801376e-8,14,9.276871549136001e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,EBF1,5.09965513069208,3.4027288947633344e-7,588,2.482372768213112e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZEB2,5.09912918395988,3.412196244966477e-7,377,2.482372768213112e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZFP42,-5.014106136721306,5.328057151853838e-7,25,2.736396658343505e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,MEF2C,5.0030832878759,5.642054965656711e-7,552,2.736396658343505e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,HIC1,4.909628446356654,9.124911605231843e-7,12,3.490937607241735e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,GATA2,4.899725195005795,9.597079332623326e-7,229,3.490937607241735e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TBX3,4.803659665265393,1.5579154863234103e-6,29,3.9917811549491865e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TAL1,4.802034118613422,1.57061922916081e-6,323,3.9917811549491865e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOSB,4.79924360111919,1.5926598397449413e-6,143,3.9917811549491865e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SOX10,4.792629399298171,1.6460953216285305e-6,149,3.9917811549491865e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PBX1,4.756596665369946,1.9688398323041684e-6,19,4.407172240003946e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZSCAN20,-4.697658887247107,2.631604527201868e-6,24,5.468978717808968e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,MAFB,4.672989218721746,2.9684735483816534e-6,101,5.468978717808968e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,GLYR1,4.670341200425871,3.0069986077300165e-6,268,5.468978717808968e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,EGR1,4.606755998629792,4.08999454694295e-6,96,6.625628780811841e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,RORB,4.60633259382474,4.098327080914541e-6,247,6.625628780811841e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,KLF2,4.55832089975026,5.156420978449335e-6,145,7.60459794560601e-5,Activated in limbus,NES = regulon activity; not transcript abundance
