tf,size
EBF1,588
MEF2C,552
OSR2,537
IRX3,517
MITF,486
MEOX2,414
SMAD5,412
ZFPM2,401
PLAGL1,388
ZNF532,384
ZEB2,377
ZNF229,371
HHEX,362
ETS1,354
ZNF703,349
IKZF1,335
E2F3,334
NR2F1,333
TAL1,323
TSHZ2,322
HLF,318
ZNF711,317
CREB5,316
RUNX2,313
ZNF503,310
PAX3,306
TSHZ3,304
IRX5,303
ZNF521,302
TEAD2,300
KLF12,296
HOXD8,284
NFIX,276
FLI1,275
SOX17,274
MSX2,272
MSANTD3,269
ZBTB7C,268
GLYR1,268
HES5,267
THRB,267
HEY2,252
RORB,247
AEBP1,241
ZNF91,240
FOXN3,238
GATA2,229
L3MBTL4,226
CEBPG,225
FOXN1,211
ZBTB5,203
ZNF326,203
DACH1,198
ZNF536,197
RORA,192
CREBL2,189
TOPORS,189
CUX1,185
NR1D1,177
TFCP2L1,176
NR4A1,175
GLMP,174
HOXD10,168
KLF4,164
ESRRG,162
DZIP1,160
MECOM,158
ZFP64,157
XPA,157
FOXF2,155
BHLHE41,154
TWIST1,150
SOX10,149
STAT2,148
BNC2,146
SOX7,146
KLF2,145
NR1D2,143
FOSB,143
E2F8,141
TET3,139
SKI,138
CSRNP1,136
PLSCR1,135
HIVEP3,133
MYCL,130
HSF2,128
ZNF57,127
IKZF5,127
TRERF1,125
ZBTB10,123
NFATC1,123
ZNF780A,120
FOXP2,116
ZNF486,111
RUNX3,110
ZXDC,108
SOX9,107
FOXL2,106
TFE3,105
ZNF488,105
KLF8,103
FOXN2,103
SOX15,102
MAFB,101
SOX5,100
MBD1,98
GTF2IRD1,98
MEIS2,97
ZNF461,97
ZEB1,97
ZNF99,97
PROX1,96
EGR1,96
ZNF280B,95
AHRR,95
ZNF83,95
MSX1,92
POU2AF1,91
ZBTB9,91
ZBTB43,90
ZNF134,87
GATA3,84
MYCN,81
KLF3,78
SMAD9,78
SP140L,76
ZNF136,75
FOXD1,75
SOX2,75
JUND,75
STAT4,70
GBX2,69
ZNF567,69
ZNF430,68
BHLHE22,68
PHF1,68
ZNF658,68
HMGA2,68
ZNF599,66
OVOL1,65
NFATC2,65
MYB,63
ARNT2,62
ELF2,61
FOXM1,60
TCF7L2,57
PURB,56
CENPT,56
HES2,56
ZNF717,55
ZNF483,53
PRRX1,52
DUX4,52
ZBED2,51
AR,50
TCF4,49
ZNF667,49
EGR4,48
ZNF675,48
MKX,47
TFDP1,46
ZBTB14,44
ZBTB7B,44
ZNF596,43
FOXC2,43
E2F2,41
ZNF22,41
PRDM16,40
NR4A3,40
ZNF324,39
DUX1,39
DUX3,39
ELK3,38
ZFHX4,38
ZNF814,38
NFIL3,37
CENPS,36
MBD6,36
FOXO3,35
ZNF804A,35
