tf,target,Limbus,Cornea,Conjunctiva,Cultured,delta_max,rewired
TET2,KRT12,-0.8,0.8783100656536799,0.5,0.5,1.67831006565368,TRUE
TET2,CRTAC1,-1,0.7142857142857143,0.5,0.5,1.7142857142857144,TRUE
TET2,XM_005269938,-1,0.7142857142857143,0.5,0.5,1.7142857142857144,TRUE
TET2,TRIM36,-0.4,0.6,1,0.5,1.4,TRUE
TET2,LONRF1,0.4,0.8857142857142858,0.5,1,0.6,TRUE
TET2,ARSJ,-0.4,-0.8857142857142858,-0.5,-1,0.6,TRUE
TET2,RGMB,-0.4,-0.7714285714285715,-1,-0.5,0.6,TRUE
TET2,PIM1,0.2,1,0.5,0.5,0.8,TRUE
TET2,MAN2B1,0,-0.6571428571428571,-1,-0.5,1,TRUE
MECOM,SLC6A14,0.4,0.7714285714285715,0.5,-0.5,1.2714285714285714,TRUE
MECOM,S100A8,0.8,0.9428571428571428,0.5,-1,1.9428571428571428,TRUE
MECOM,C3,0.4,0.37142857142857144,0,-1,1.4,TRUE
MECOM,MMP10,0.2,0.8857142857142858,-1,-1,1.8857142857142857,TRUE
MECOM,CEACAM7,0.8,1,1,-0.5,1.5,TRUE
MECOM,S100A9,0.8,0.9428571428571428,0.5,-0.5,1.4428571428571428,TRUE
MECOM,PIGR,1,1,1,-1,2,TRUE
MECOM,XM_005273163,1,1,1,-1,2,TRUE
MECOM,LCN2,1,0.9428571428571428,1,-1,2,TRUE
MECOM,CEACAM6,1,0.8857142857142858,1,-0.5,1.5,TRUE
MECOM,SLPI,1,1,0.5,-0.5,1.5,TRUE
MECOM,MUC4,0.8,0.9428571428571428,-1,0.5,1.9428571428571428,TRUE
MECOM,CEACAM5,0.8,0.9428571428571428,0.5,-0.5,1.4428571428571428,TRUE
MECOM,KRT19,0.4,0.8857142857142858,-0.8660254037844387,1,1.8660254037844388,TRUE
MECOM,CREG2,0.4,-0.9428571428571428,0.5,1,1.9428571428571428,TRUE
MECOM,RBPMS,-0.2,0.8857142857142858,0.5,1,1.2,TRUE
MECOM,SLC34A2,1,0.9428571428571428,0.5,-1,2,TRUE
MECOM,FMO1,0.8,0.7714285714285715,-1,0.5,1.8,TRUE
MECOM,VEGFC,0.8,0.8285714285714285,1,-0.5,1.5,TRUE
MECOM,HSPB8,-0.2,0.7714285714285715,0.5,-0.5,1.2714285714285714,TRUE
MECOM,CLC,-0.8,-0.8285714285714285,0.5,-0.5,1.3285714285714285,TRUE
MECOM,XM_005258501,-0.8,-0.8285714285714285,0.5,-0.5,1.3285714285714285,TRUE
MECOM,NPNT,0.2,0.8285714285714285,-0.5,-0.5,1.3285714285714285,TRUE
MECOM,TCERG1L,-0.6000000000000001,-0.9428571428571428,1,0.5,1.9428571428571428,TRUE
MECOM,MUC1,0.8,0.8285714285714285,0.5,-1,1.8285714285714285,TRUE
MECOM,FA2H,-0.8,-0.6,0.5,0.5,1.3,TRUE
MECOM,STEAP1,1,0.7142857142857143,1,-1,2,TRUE
MECOM,F3,0.4,0.8285714285714285,-0.5,-1,1.8285714285714285,TRUE
MECOM,PLPP4,-0.8,-0.9428571428571428,0.5,0.5,1.4428571428571428,TRUE
MECOM,XM_006717685,-0.8,-0.9428571428571428,0.5,0.5,1.4428571428571428,TRUE
MECOM,PRXL2A,0.8,0.9428571428571428,-0.5,-0.5,1.4428571428571428,TRUE
MECOM,SLC15A2,0.8,0.9428571428571428,-0.5,0.5,1.4428571428571428,TRUE
MECOM,ADAM28,0.8,0.9428571428571428,-0.5,0.5,1.4428571428571428,TRUE
MECOM,PAQR5,0.2,-0.9428571428571428,0.5,-0.5,1.4428571428571428,TRUE
MECOM,IRS1,0.8,0.8285714285714285,-0.5,-1,1.8285714285714285,TRUE
MECOM,XM_005246534,0.8,0.8285714285714285,-0.5,-1,1.8285714285714285,TRUE
MECOM,TGFB2,-0.8,-0.6,0.5,-0.5,1.3,TRUE
MECOM,TKT,0.4,-0.8857142857142858,0.5,0.5,1.3857142857142857,TRUE
MECOM,LPCAT2,0.8,0.42857142857142855,0.5,-1,1.8,TRUE
MECOM,SYTL2,0.4,0.8857142857142858,-0.5,1,1.5,TRUE
MECOM,DPYD,0.8,0.8285714285714285,0.5,-0.5,1.3285714285714285,TRUE
MECOM,PHACTR1,-0.8,-0.5428571428571428,-0.5,0.5,1.3,TRUE
MECOM,XM_005248936,-0.8,-0.5428571428571428,-0.5,0.5,1.3,TRUE
MECOM,XM_006715021,-0.8,-0.5428571428571428,-0.5,0.5,1.3,TRUE
MECOM,FHOD3,-0.6000000000000001,-0.7142857142857143,0.5,-0.5,1.2142857142857144,TRUE
MECOM,KCNG3,-1,-0.9428571428571428,0.5,-0.5,1.5,TRUE
MECOM,CYSLTR1,0.8,0.7714285714285715,1,-0.5,1.5,TRUE
MECOM,CRLF1,-0.6000000000000001,-0.7714285714285715,0.5,0.5,1.2714285714285714,TRUE
MECOM,XM_006722934,-0.6000000000000001,-0.7714285714285715,0.5,0.5,1.2714285714285714,TRUE
