tf,n_rewired_edges,size,frac_rewired
EBF1,531,588,0.903
MEF2C,475,552,0.861
OSR2,467,537,0.87
IRX3,461,517,0.892
MITF,432,486,0.889
SMAD5,367,412,0.891
MEOX2,350,414,0.845
ZFPM2,349,401,0.87
ZNF532,347,384,0.904
PLAGL1,339,388,0.874
ZNF229,338,371,0.911
ZEB2,336,377,0.891
ETS1,316,354,0.893
HHEX,306,362,0.845
E2F3,302,334,0.904
CREB5,300,316,0.949
IKZF1,299,335,0.893
TAL1,299,323,0.926
ZNF711,297,317,0.937
ZNF703,293,349,0.84
NR2F1,292,333,0.877
HLF,287,318,0.903
KLF12,282,296,0.953
TSHZ2,282,322,0.876
ZNF521,265,302,0.877
RUNX2,264,313,0.843
IRX5,258,303,0.851
TEAD2,258,300,0.86
TSHZ3,256,304,0.842
MSX2,247,272,0.908
MSANTD3,242,269,0.9
ZNF503,240,310,0.774
HOXD8,238,284,0.838
FLI1,235,275,0.855
NFIX,235,276,0.851
HES5,229,267,0.858
GLYR1,225,268,0.84
PAX3,222,306,0.725
THRB,222,267,0.831
L3MBTL4,219,226,0.969
AEBP1,217,241,0.9
HEY2,214,252,0.849
ZBTB7C,212,268,0.791
RORB,210,247,0.85
ZNF91,210,240,0.875
FOXN3,209,238,0.878
CEBPG,194,225,0.862
SOX17,186,274,0.679
FOXN1,185,211,0.877
GATA2,182,229,0.795
ZNF326,180,203,0.887
ZBTB5,179,203,0.882
CREBL2,161,189,0.852
TOPORS,157,189,0.831
CUX1,152,185,0.822
DACH1,152,198,0.768
GLMP,151,174,0.868
RORA,150,192,0.781
BHLHE41,139,154,0.903
KLF4,138,164,0.841
XPA,137,157,0.873
DZIP1,136,160,0.85
ZNF536,135,197,0.685
NR4A1,131,175,0.749
TFCP2L1,131,176,0.744
STAT2,130,148,0.878
ESRRG,129,162,0.796
MECOM,129,158,0.816
TWIST1,126,150,0.84
NR1D1,121,177,0.684
PLSCR1,120,135,0.889
BNC2,119,146,0.815
KLF2,119,145,0.821
HSF2,117,128,0.914
SOX10,117,149,0.785
FOSB,116,143,0.811
IKZF5,115,127,0.906
MYCL,115,130,0.885
FOXF2,114,155,0.735
HOXD10,114,168,0.679
ZFP64,114,157,0.726
TRERF1,113,125,0.904
NR1D2,112,143,0.783
TET3,107,139,0.77
HIVEP3,104,133,0.782
E2F8,102,141,0.723
FOXP2,102,116,0.879
NFATC1,101,123,0.821
ZBTB10,100,123,0.813
ZXDC,97,108,0.898
CSRNP1,96,136,0.706
SOX7,92,146,0.63
MAFB,91,101,0.901
FOXL2,90,106,0.849
ZNF486,90,111,0.811
ZEB1,86,97,0.887
ZNF780A,86,120,0.717
SKI,82,138,0.594
ZNF57,82,127,0.646
ZNF83,82,95,0.863
TFE3,81,105,0.771
ZNF488,81,105,0.771
RUNX3,80,110,0.727
