gene,degree,degree_norm,betweenness,closeness,eigenvector,clustering_coeff,module,MCC,logFC,direction,module_sz,degree_n,betweenness_n,closeness_n,eigenvector_n,MCC_n,hub_score,hub_components,hub_rank,is_hub
COL1A1,47,0.07679738562091504,0.043409461135618575,0.3020730503455084,1,0.2858464384828862,7,2634070623622.006,2.458079435623361,Up,82,1,0.332601345166483,0.8624663569643647,1,0.9351375432969191,0.8260410490855534,degree+betweenness+closeness+eigenvector+MCC,1,TRUE
COL1A2,42,0.06862745098039216,0.018601231445077977,0.29493975903614456,0.9921935408444669,0.3623693379790941,7,2809867779322.0063,2.4526167179967846,Up,82,0.8913043478260869,0.1425218014353464,0.8312638400563996,0.9921935408414972,0.9975483681342178,0.7709663796587096,degree+betweenness+closeness+eigenvector+MCC,2,TRUE
ITGA2,36,0.058823529411764705,0.01710159590865891,0.2935251798561151,0.9823659909952619,0.46825396825396826,7,2816773470922.0063,-1.2041850411095236,Down,82,0.7608695652173914,0.1310316611842577,0.8250761731200186,0.9823659909885538,1,0.7398686781020443,degree+betweenness+closeness+eigenvector+MCC,3,TRUE
ITGB4,32,0.05228758169934641,0.020681345619141617,0.28451882845188287,0.9332617024979232,0.5705645161290323,7,2816773425631.0063,-2.273744380065856,Down,82,0.6739130434782609,0.15845954298509704,0.7856804972977323,0.9332617024725354,0.9999999839209647,0.710262954030918,degree+betweenness+closeness+eigenvector+MCC,4,TRUE
ITGA5,32,0.05228758169934641,0.007509389637505203,0.28854314002828857,0.9325569869670741,0.532258064516129,7,2809997688975.0063,-1.7978354669209011,Down,82,0.6739130434782609,0.0575366067551598,0.8032836827783091,0.9325569869414182,0.9975944881557037,0.6929769616217704,degree+betweenness+closeness+eigenvector+MCC,5,TRUE
COL4A1,31,0.05065359477124183,0.004840395103305616,0.2878645343367827,0.9276511083672461,0.5548387096774193,7,2812752384432.0063,2.364222646576679,Up,82,0.6521739130434783,0.03708689028566915,0.8003153187167913,0.927651108339724,0.9985724494598122,0.683159935969095,degree+betweenness+closeness+eigenvector+MCC,6,TRUE
ITGB6,31,0.05065359477124183,0.004553110818252503,0.27945205479452057,0.9493095479601539,0.6129032258064516,7,2816773465730.0063,-3.402600808526735,Down,82,0.6521739130434783,0.03488573097260285,0.7635173633591048,0.9493095479408709,0.9999999981567563,0.6799773106945626,degree+betweenness+closeness+eigenvector+MCC,7,TRUE
COL6A1,31,0.05065359477124183,0.0032341764449099752,0.2679509632224168,0.9024822700491869,0.5440860215053764,7,2797461022944.0063,1.9637452536004023,Up,82,0.6521739130434783,0.024780114932138126,0.7132091691924732,0.9024822700120904,0.9931437695727497,0.657157847350586,degree+betweenness+closeness+eigenvector+MCC,8,TRUE
ITGA3,28,0.0457516339869281,0.0022845092612549986,0.27945205479452057,0.8938018600363971,0.6666666666666666,7,2809997648646.0063,-1.4484481957933442,Down,82,0.5869565217391305,0.01750380754473914,0.7635173633591048,0.8938018599959984,0.9975944738382585,0.6518748052954463,degree+betweenness+closeness+eigenvector+MCC,9,TRUE
ITGA11,28,0.0457516339869281,0.0011187075051679856,0.2727272727272727,0.9189046738274353,0.7195767195767195,7,2816773389360.0063,1.3700611666809204,Up,82,0.5869565217391305,0.008571486752721012,0.7341017518194165,0.918904673796586,0.9999999710441749,0.6497068810304057,degree+betweenness+closeness+eigenvector+MCC,10,TRUE
ITGA10,27,0.04411764705882353,8.33007240947135e-4,0.27248441674087265,0.8979514929382028,0.7521367521367522,7,2816773344000.0063,1.5182366617776797,Up,82,0.5652173913043478,0.006382464136259536,0.733039448642214,0.8979514928993827,0.9999999549406435,0.6405181503845695,degree+betweenness+closeness+eigenvector+MCC,11,TRUE
ITGB8,27,0.04411764705882353,8.33007240947135e-4,0.27248441674087265,0.8979514929382025,0.7521367521367522,7,2816773344000.0063,-1.882965579421661,Down,82,0.5652173913043478,0.006382464136259536,0.733039448642214,0.8979514928993825,0.9999999549406435,0.6405181503845695,degree+betweenness+closeness+eigenvector+MCC,11,TRUE
THBS2,27,0.04411764705882353,0.003631696349338232,0.2857142857142857,0.8279749891165998,0.5783475783475783,7,2634069894000.006,1.4586716290207082,Up,82,0.5652173913043478,0.027825894618972422,0.7909096788669623,0.8279749890511601,0.9351372842693447,0.6294130476221574,degree+betweenness+closeness+eigenvector+MCC,13,TRUE
COL6A2,28,0.0457516339869281,0.004415525811706021,0.2607584149978696,0.830401760770877,0.5687830687830688,7,2796411951505.0063,1.6666688590259895,Up,82,0.5869565217391305,0.033831560820406434,0.6817474500708688,0.8304017607063605,0.9927713322966144,0.6251417251266762,degree+betweenness+closeness+eigenvector+MCC,14,TRUE
MMP9,44,0.0718954248366013,0.09465459311145136,0.3335149863760218,0.45390277426734765,0.18710359408033825,1,16361.000000000004,-2.7151727772663348,Down,54,0.9347826086956522,0.725239249036032,1,0.4539027740596078,5.808063789613419e-9,0.6227849275198711,degree+betweenness+closeness+eigenvector+MCC,15,TRUE
ITGA6,33,0.05392156862745098,0.027520699064618147,0.2850489054494644,0.8743343219542743,0.44696969696969696,7,1404998824594.0032,-1.2469421040308646,Down,82,0.6956521739130435,0.2108623624747866,0.7879991656041632,0.8743343219064701,0.4987972370151611,0.6135290521827248,degree+betweenness+closeness+eigenvector+MCC,16,FALSE
COL6A3,25,0.04084967320261438,9.076264690082809e-4,0.2603147596767333,0.8053945950040954,0.6766666666666666,7,2796411976560.0063,1.6172795586921769,Up,82,0.5217391304347826,0.006954193316469458,0.6798068083588316,0.8053945949300659,0.9927713411915434,0.6013332136463385,degree+betweenness+closeness+eigenvector+MCC,17,FALSE
PTK2,37,0.06045751633986928,0.06037740167540453,0.31336405529953915,0.8059983231903262,0.3108108108108108,7,17309497742.99997,-1.3514084474003774,Down,82,0.782608695652174,0.46260894490623233,0.9118555880649629,0.8059983231165263,0.006145150797781494,0.5938433405075354,degree+betweenness+closeness+eigenvector+MCC,18,FALSE
