from,to,score
A2M,CFB,0.726
A2M,CLU,0.896
A2M,IL1B,0.984
A2M,LRP1,0.998
A2M,MMP1,0.796
A2M,MMP2,0.953
A2M,MMP9,0.845
A2M,PLAU,0.715
A2M,SERPINF1,0.88
A2M,SERPING1,0.905
A2ML1,KLK7,0.835
A2ML1,KLK6,0.77
AASS,ALDH7A1,0.956
ABCA6,FOXO3,0.764
ABCA6,ABCA9,0.79
ACKR1,ACKR4,0.747
ACKR1,CCL2,0.994
ACKR1,CXCL5,0.897
ACKR1,GYPC,0.877
ACKR1,PPBP,0.836
ACKR1,CD82,0.973
ACKR1,FYB1,0.81
ACKR1,NECTIN1,0.994
ACKR4,CCL19,0.999
ACKR4,CCL2,0.812
ACKR4,CCL20,0.928
ACKR4,CCL8,0.987
ACKR4,CXCL12,0.865
ACSS3,ALDH2,0.886
ACSS3,ALDH7A1,0.87
ACSS3,AOX1,0.816
ACTA2,ACTG2,0.988
ACTA2,CCN2,0.727
ACTA2,CNN1,0.892
ACTA2,COL1A1,0.928
ACTA2,COL1A2,0.814
ACTA2,COL3A1,0.882
ACTA2,FBN1,0.721
ACTA2,LMOD1,0.773
ACTA2,MYH11,0.997
ACTA2,MYH14,0.907
ACTA2,MYL9,0.97
ACTA2,MYLK,0.89
ACTA2,PDGFRB,0.781
ACTA2,POSTN,0.73
ACTA2,TAGLN,0.954
ACTA2,TPM2,0.824
ACTG2,CNN1,0.93
ACTG2,LMOD1,0.86
ACTG2,MYH11,0.993
ACTG2,MYH14,0.907
ACTG2,MYL9,0.974
ACTG2,MYLK,0.856
ACTG2,TAGLN,0.82
ACTG2,TPM2,0.835
ACVRL1,BMP4,0.908
ACVRL1,ENG,0.999
ACVRL1,FKBP1A,0.751
ACVRL1,SMAD9,0.91
ADAMTS1,AREG,0.722
ADAMTS1,CCN1,0.752
ADAMTS2,COL1A1,0.936
ADAMTS2,COL1A2,0.946
ADAMTS2,COL3A1,0.891
ADAMTS2,COL5A1,0.826
ADAMTS2,FBLN5,0.789
ADAMTS2,FBN1,0.736
ADAMTS2,CCBE1,0.852
ADAMTS5,IL1B,0.737
ADAMTS5,TIMP3,0.888
ADAP1,PLEK2,0.727
ADARB1,BMP7,0.871
ADCY2,CALML5,0.737
ADCY2,GNB4,0.728
ADCY2,GNG2,0.811
ADCY2,GNG7,0.728
ADCY2,PDE5A,0.728
ADCY2,PDE1C,0.703
ADCY2,PDE3A,0.768
ADCY2,PDE7B,0.748
ADGRA2,FZD4,0.802
ADGRA2,LRRK2,0.739
ADGRA2,RECK,0.735
ADGRA2,WNT7A,0.747
ADGRD1,GNG2,0.822
ADGRD1,NPR3,0.711
ADGRF1,GNG2,0.817
ADGRL4,EMCN,0.782
ADH1B,ADHFE1,0.725
ADH1B,ALDH1A3,0.824
ADH1B,ALDH2,0.995
ADH1B,ALDH3A1,0.857
ADH1B,ALDH7A1,0.83
ADH1B,AOX1,0.952
ADH1B,CYP27C1,0.903
ADH1B,GSTA4,0.72
ADH1B,LRAT,0.913
ADH1B,GSTM3,0.721
ADHFE1,MGLL,0.799
ADM,GNG2,0.8
ADRA2A,GNG2,0.932
