module,n_nodes,n_up,pct_up,top_nodes
7,154,132,85.7,IL6; CXCL8; CXCR4; TLR4; PTPRC; PECAM1
11,143,93,65,PRKACB; CALML5; PRKCA; NT5E; GNG2; GNB5
6,110,80,72.7,FGF2; KIT; IGF1; PIK3R1; FYN; PDGFRB
9,110,103,93.6,FN1; COL1A1; COL1A2; ITGA4; ITGA5; COL6A1
2,100,53,53,BCL2; PPARGC1A; FOXO3; GPX3; GPX2; ENO1
16,78,53,67.9,SOX2; AR; TWIST1; VIM; PAX6; KLF4
12,75,46,61.3,OCLN; RRAS; F11R; CLDN5; AFDN; PLXNA1
1,71,65,91.5,C3; CLU; A2M; C1QA; SAA1; TFRC
13,58,35,60.3,CADM1; DLG3; ANK2; GRIN2A; CASK; DBN1
4,52,24,46.2,CFTR; NEDD4L; ITCH; ANO1; SFN; GJB2
3,50,30,60,ALDH1A1; AOX1; BCO1; MAOB; SOAT1; GSTM3
10,46,37,80.4,RUNX2; ENG; TGFB2; BMP4; BMP2; TGFBR1
15,44,35,79.5,S100B; MITF; SOX10; ENAH; TYRP1; RAB27A
17,40,31,77.5,IFIT3; STAT4; MX1; LMNB1; TRPC1; IFITM1
5,39,24,61.5,LPL; LPIN1; PLD1; SPHK1; ALOX5; PLPP3
14,38,27,71.1,WNT5A; SNCA; MCAM; GPC3; DKK1; FZD7
18,38,20,52.6,EPCAM; MUC1; KRT19; GAS6; KRT7; CEACAM5
8,29,25,86.2,ACTA2; TAGLN; CALD1; MYLK; TPM1; MYH11
19,4,4,100,CLIC5; CLIC4; CLIC2; CLIC6
20,3,2,66.7,LSP1; PLK3; TOX3
21,3,2,66.7,RTN4R; OLFM1; TNFRSF19
